Depth sed [m],Sample label (DSDP/ODP/IODP sample designation),A.midwayensis,Alabamina_spp.,A.wilcoxensis,Allomorphina_spp.,A.velascoensis,Ammodiscus_spp.,A.acuta,A.affinis,A.ammonoides,A.rubiginosus,Anomalinoides_spp.,A.velascoensis,A.truncata,Astacolus_spp.,Bifarina_spp.,B.delicatulus,B.draco,B.paleocenica ,B.kugleri,B.midwayensis,Bulimina_spp.,B.thanetensis,B.trinitatensis,B.velascoensis,B.beaumonti,B.grata,Buliminella_spp.,C.dayi,C.ekblomi,C.hyphalus,C.proprius,Cibicidoides_spp.,C.velascoensis,C.welleri,C.amorpha,C.amorpha ,Clavulinoides_spp.,C.trilatera,C.trilatera_juvenile,C.decurrens,C.incrassata,Coryphostoma_spp.,Coryphostomella_spp.,D.bulletta,Dorothia_spp.,Ellipsodimorphina_spp.,Eouvigerina_spp.,E.subsculptura,Fissurina_spp.,Frondicularia_spp.,F.tegulata,G.laevigata,G.pyramidata,Gaudryina_spp.,Glandulina_spp.,Globorotalites_spp.var.A,Globorotalites_spp.,G.prisca,Globulina_spp.,G.grzybowskii,Guttulina_spp.,G.acutus,G.beisseli,G.depressus,G.girardana,G.globosus,G.soldanii,Gyroidinoides_spp.,Haplophragmoides_spp.,H.lingulata,Lagena_spp.,L.rotulata,Lenticulina_spp.,Lingulina_spp.,M.oxycona,M.oxycona_juvenile,Marssonella_spp.,Neocorbina_spp.,Neoflabellina_spp.,N.havanense,N.cretacea,N.robusta,Nonionella_spp.,Nuttallides_spp.,N.truempyi,N.coronula,N.florealis,Nuttallinella_spp.,Oolina_spp.,O.plummerae,Oridorsalis_spp.,O.umbonatus,O.velascoensis,Osangularia_spp.,Palliolatella_spp.,P.cf.hillebrandti,P.hillebrandti,P.lunata,Paralabamina_spp.,Pleurostomella_spp.,P.aff.subnodosa,Polymorphinella_spp.,P.reussi,Praebulimina_spp.,P.plummerae,P.cretacea,P.jarvisi,P.rudita,Pyramidina_spp.,Pyrulina_spp.,Pyrulinoides_spp.,Q.allomorphinoides,Quadrimorphina_spp.,Quinqueloculina_spp.,Ramulina_spp.,Reophax_spp.,R.szajnochae,Rhizammina_spp.,Scheibnerova_spp.,S.cretacea,Siphogerenoides_spp.,Sitella_spp.,S.varsoviensis,S.dentata,S.spectabilis,Spiroplectammina_spp.,S.beccariiformis,S.excolata,Stilostomella_spp.,S.subspinosa,T.selmensis,Tappanina_spp.,Uvigerina_spp.,V.trilobata,V.lenticula
106.21,"171-1049C-8X-1,10-12",0,0,1,0,0,0,0,0,11,0,13,0,0,0,0,1,0,21,22,0,6,10,3,0,17,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,5,4,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1,19,10,0,0,0,3,4,0,0,0,10,0,2,0,0,15,19,0,2,0,0,0,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,1,0,2,0,0,1,3
106.81,"171-1049C-8X-1,70-72",0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,1,0,18,80,0,6,6,0,0,1,0,8,0,13,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,9,0,0,0,16,0,8,0,2,0,0,0,6,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
107.41,"171-1049C-8X-1,130-132",0,0,1,0,0,0,0,0,1,0,2,2,0,1,0,2,0,6,129,0,3,0,2,0,0,0,3,0,14,1,0,3,0,0,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2,38,4,2,2,0,0,10,0,0,0,5,1,2,1,0,18,9,0,0,0,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,2,1,5,0,0,0,1
108.21,"171-1049C-8X-2,60-62",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,54,0,0,1,0,0,1,0,2,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,3,0,0,1,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,5,0,0,0,9,0,2,0,16,0,5,0,0,0,0,0,9,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,7,0,3,0,0,0,1
108.73,"171-1049C-8X-2,112-114",0,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,0,9,77,0,17,4,0,0,1,0,10,0,14,7,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,4,0,58,0,0,0,1,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,30,7,0,0,0,0,7,0,0,0,14,0,1,0,0,30,11,0,0,0,0,0,4,0,0,0,1,2,2,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0
109.73,"171-1049C-8X-3,62-64",0,0,1,1,0,1,0,0,4,0,6,0,0,1,0,0,0,7,58,0,1,0,2,0,4,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,24,5,0,0,0,0,3,0,0,0,2,0,0,1,0,8,7,0,0,0,0,0,0,0,0,1,0,2,1,7,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
110.21,"171-1049C-8X-3,110-112",0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,5,59,0,20,6,1,0,0,0,2,0,13,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9,40,2,0,0,0,0,1,0,0,0,5,0,0,0,22,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0
110.61,"171-1049C-8X-4,0-2",0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,5,97,0,10,10,0,0,3,0,0,0,9,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18,3,0,2,0,0,0,4,0,0,0,0,0,2,0,4,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1
111.21,"171-1049C-8X-4,60-62",0,0,0,1,0,1,0,3,7,0,3,0,0,0,0,0,0,7,111,0,8,0,3,0,1,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,2,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,36,1,0,2,0,1,6,0,0,0,4,0,0,0,0,21,5,0,1,0,0,0,4,0,0,1,0,0,0,2,9,2,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,13,0,2,0,0,0,3
111.93,"171-1049C-8X-4,132-134",0,0,0,0,0,0,0,0,2,0,5,0,0,2,0,1,0,0,46,0,2,0,0,0,0,0,3,0,5,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,44,1,0,0,0,0,2,0,0,0,0,3,0,0,0,12,2,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,7,0,1,0,3,0,0,0,1
