mbsf,Sample,Age_Ma,Ammodiscus sp.,Ammosphaeroidina sp.,Arenobulimina truncata,Bathysiphon sp.,Clavulinoides amorpha,Clavulinoides juvenile,Clavulinoides sp.,Dorothia bulleta,Dorothia spp.,Gaudryina pyramidata,Karrerulina sp.,Marssonella oxycona,Marssonella sp.,Marssonella indentata,Recurvoides sp.,Reophax sp.,Rhizammina ,Rzehakina sp.,Saccammina sp.,Spiroplectammina cf. dentata,Spiroplectammina esnaensis,Spiroplectammina spp.,Spiroplectammina cf. israelskyi,Spiroplectammina spectabilis,Trochamminoides sp.,Alabamina wilcoxensis,Alabamina sp.,Allomorphina sp.,Allomorphina velascoensis,Anomalinoides affinis,Anomalinoides ammonoides,Anomalinoides cf. zitteli,Anomalinoides sp. A (cf. praeacutus),Anomalinoides sp. B (cf. acutus),Anomalinoides spp.,Aragonia spp.,Aragonia aragonensis,Aragonia velascoensis,Astacolus spp.,Bolivina cf. huneri,Bolivina sp.,Bolivina sp. A,Bolivinoides decoratus,Bolivinoides delicatulus,Bolivinoides cf. draco,Bulimina spp.,Bulimina midwayensis,Bulimina kugleri,Bulimina paleocenica,Bulimina simplex,Bulimina trinitatensis,Bulimina velascoensis,Buliminella beaumonti,Buliminella grata,Chilostomella cf. oolina,Cibicidoides howelli,Cibicidoides hyphalus,Cibicidoides velascoensis,Nonionella robusta,Cibicidoides spp.,Coryphostoma incrassata,Coryphostoma spp.,Ellipsodimorphina spp.,Ellipsopolymorphina sp.,Eouvigerina subsculptura,Eouvigerina sp.,Fissurina spp.,Frondicularia,Fursenkoina tegulata,Fursenkoina sp.,Glandulina sp.,Globobulimina sp.,Globulina prisca,Globulina spp.,Guttulina  sp.,Globorotalites sp.,Gyroidinoides beisseli,Gyroidinoides depressus,Gyroidinoides globosus,Gyroidinoides gyrardanus,Gyroidinoides quadratus,Gyroidinoides sp.,Heronallenia lingulata,Laevidentalina spp.,Lagena spp.,Lenticulina spp.,Lenticulina velascoensis,Miliolid,Neoflabellina sp.,Nonionella cretacea,Nonionella sp.,Nuttallides spp.,Nuttallides truempyi,Nuttallinella coronula,Nuttallinella florealis,Nuttallinella rippleyensis,Nuttallinella spp.,Oolina spp.,Oridorsalis plummerae,Oridorsalis umbonatus,Oridorsalis sp.,Osangularia  velascoensis,Osangularia spp.,Paliolatella sp.,Paralabamina hillebrandti,Paralabamina lunata,Pleurostomella acuta,Pleurostomella alternans,Pleurostomella  sp.,Polymorphinella sp.,Praebulimina reussi,Praebulimina sp.,Pullenia coryelli,Pullenia cretacea,Pullenia jarvisi,Pyramidina rudita,Pyrulina spp.,Pyrulinoides sp.,Quadratobuliminella pyramidalis,Quadrimorphina allomorphinoides ,Quadrimorphina spp.,Quadrimorphina varsoviensis,Ramulina sp.,Seabrookia cretacea,Strictocostella hispidula,Sililoculinina?,Stainforthia sp.,Stensioeina beccariiformis,Stillostomella subspinosa,Stillostomella spp.,Tappanina eouvigeriniformis,Tappanina selmensis,Valvalabamina lenticula
252.5,"B4 16X-1, 39-41",65.839,,,,,,,,,,1,,,,,,,,,,,,5,,2,,,,22,,,,,3,5,10,,,,,,,,19,,,1,1,3,,3,,,11,,,,2,,3,,2,6,,1,,5,,1,,2,,,,5,,,5,1,2,1,2,2,2,7,2,,1,,,,,,16,,4,19,5,,,16,,3,2,,10,27,,,,6,,,,1,3,1,,,,,,,,1,3,4,1,16,,,2,,
252.42,"A30 15X-CC, 16-20",65.833,,,1,,1,,,2,,,,,,,,,2,,,,,5,2,6,,,,1,,,2,,1,19,3,1,,1,,,,,,,,3,18,8,,1,,,8,,3,4,6,4,1,,2,1,,5,,,1,,,1,1,,1,4,2,,9,4,6,8,4,2,,13,1,4,,,,3,,,14,,3,2,,,,11,,4,1,,16,18,2,,,,3,,,7,12,,,,,,,,,,7,3,,18,,1,1,,2
252.06,"A29 15X-7, 16-18",65.807,,,,1,,,2,,,,,,,,,,,,,,,13,1,4,,,,13,,,2,,1,3,7,,,,,1,,,20,,,,7,7,,10,,,5,,3,3,3,,2,,,12,,1,,4,,,,,,1,,6,1,,5,1,10,3,,4,2,8,6,,,,,6,,,17,,2,13,,,,24,,5,,,6,33,1,,,,23,,2,7,2,3,,,,1,,,,,5,1,,3,,,,,
251.06,"A27 15X-6, 66-68",65.774,,,1,,,,,,,,,,,,,,,,,,,,,12,,,,9,,,1,,1,5,9,,,,,2,,,13,,,,6,12,,6,,,4,,1,,1,,,,1,42,,,,,,,,1,,,,5,,,,2,,1,3,1,,3,5,,1,,,2,,,10,,4,9,,,,3,,1,,1,23,22,,,,,4,,,6,1,3,3,,,1,,,,3,6,1,,3,,,39,,
250.54,"A26 15X-6, 14-16",65.696,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,17,,,2,,,6,23,,,,1,5,,,6,,1,,8,15,1,,,,4,,1,,4,,,,15,8,,,,,,,,1,,,,5,2,,,1,3,,,2,,15,4,4,1,,,3,,,5,,12,26,,,,24,,2,5,,10,30,5,,,,4,,,3,3,9,,,,3,,,,2,17,,,,,,6,,
249.97,"A25 15X-5, 107-109",65.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,1,,,4,15,,,,1,5,,,5,,,,,,,4,,,5,,,,4,2,,2,2,26,,5,,,2,,,1,1,1,,2,,,,,3,2,1,4,5,28,4,1,,,,1,,,8,,,13,,,,13,,,4,,13,12,,,1,3,5,,,2,7,21,,,,1,,,,1,10,1,,3,,,18,,
249.47,"A24 15X-5, 57-59",65.618,,,,3,,,,,,,,,,,,,,,,,,5,,18,,,,14,,,5,,,1,16,,,1,,3,,,,,,1,,8,,,,,3,,,2,2,1,2,6,13,5,3,8,2,,,,,,,,,5,,,11,2,1,,,5,2,16,4,1,2,,,1,4,,5,,1,,11,,,18,,1,1,,21,6,,,2,1,9,,,2,4,8,,,,,,,,,19,,,,,,8,,
249.01,"A23 15X-5, 11-13",65.585,,,1,,,,1,1,,2,,,,,,,,,,,,29,,10,,,,8,,,1,1,,7,12,3,,,,,2,,2,,,,,10,,7,,,4,,,,,1,1,,1,7,1,,,1,,,,,,,,5,,,3,4,2,,1,1,2,11,,3,1,,,1,,,6,,6,23,,2,,22,,3,7,,32,16,,,1,1,8,,,5,12,10,,,1,3,,,,1,4,,,,,1,,,
248.87,"A22 15X-4, 147-149",65.574,,,,,,,,,1,,,,,,,,,,,,,32,,4,,,,7,,,,,1,13,8,,,1,,,3,,1,,,,,10,,7,,,13,,,,,1,4,,,11,,,,,,,,,,,,3,,,16,1,2,,,7,,13,,5,,,,,,,13,,3,16,,,,19,,4,2,,27,10,,,2,,7,,,3,5,7,,,3,,,,,6,9,,,1,,,4,,
248.65,"A21 15X-4, 125-127",65.558,,,,,,,,,,,,,,,,,,,,,,11,,8,,,,3,1,,,,1,7,7,2,,,1,,,,1,,,,1,8,,6,,,4,,,,,,1,,2,14,2,2,,,,,,,,,,7,,,9,2,4,2,1,7,,12,,4,,,,,,,4,,,11,1,1,,10,,8,,,21,9,,,,3,6,,,2,8,3,,,1,1,,,,1,5,,,,,,10,,
