 Hole , Core , Section , interval top , interval bottom  , mbsf ,Depth. mcd,Age, Nuttallides truempyi d13C , Stensioeina beccariiformis d13C , Dinocysts d13C ,bulk d13C,lat,lng
690C, 14X ,4,39,41,238,,64.134,1.18,1.14,,,-66,3
690C, 14X ,5,10,12,239,,64.256,1.12,1.32,,,-66,3
690C, 14X ,5,110,112,240,,64.363,1.3,1.14,,,-66,3
690C, 14X , CC ,15,17,241,,64.419,1.5,1.38,,,-66,3
690C, 14X , CC ,15,17,241,,64.419,,1.48,,,-66,3
690C, 14X , CC ,,,243,,64.639,,1.41,,,-66,3
690C, 14X , CC ,,,243,,64.639,,1.42,,,-66,3
690C, 14X , CC ,,,243,,64.639,,1.36,,,-66,3
690C, 15X ,1,10,12,243,,64.649,1.74,,,,-66,3
690C, 15X ,1,67,69,244,,64.71,1.81,,,,-66,3
690C, 15X ,1,92,94,244,,64.738,,1.59,,,-66,3
690C, 15X ,1,120,122,244,,64.766,1.54,1.66,,,-66,3
690C, 15X ,1,146,148,244,,64.795,,,,,-66,3
690C, 15X ,2,5,7,244,,64.807,1.47,,,,-66,3
690C, 15X ,2,17,19,245,,64.816,1.45,,,,-66,3
690C, 15X ,2,21,25,245,,64.824,1.39,1.56,,,-66,3
690C, 15X ,2,46,50,245,,64.85,1.47,1.47,,,-66,3
690C, 15X ,2,46,50,245,,64.85,1.39,,,,-66,3
690C, 15X ,2,67,69,245,,64.869,1.64,,,,-66,3
690C, 15X ,2,94,96,245,,64.899,1.39,,,,-66,3
690C, 15X ,2,117,119,246,,64.922,1.57,,,,-66,3
690C, 15X ,2,132,136,246,,64.926,,1.52,,,-66,3
690C, 15X ,2,132,136,246,,64.926,,1.53,,,-66,3
690C, 15X ,2,132,136,246,,64.926,1.56,1.47,,,-66,3
690C, 15X ,2,132,136,246,,64.926,1.5,1.39,,,-66,3
690C, 15X ,2,140,142,246,,64.947,1.59,,,,-66,3
690C, 15X ,2,140,142,246,,64.947,1.49,,,,-66,3
690C, 15X ,3,8,10,246,,64.966,,1.35,,,-66,3
690C, 15X ,3,8,10,246,,64.966,,1.54,,,-66,3
690C, 15X ,3,16,18,246,,64.974,1.75,,,,-66,3
690C, 15X ,3,25,29,246,,64.986,1.56,1.14,,,-66,3
690C, 15X ,3,36,36,246,,64.994,1.6,1.56,,,-66,3
690C, 15X ,3,41,46,246,,65.002,1.47,1.32,,,-66,3
690C, 15X ,3,41,46,246,,65.002,,1.47,,,-66,3
690C, 15X ,3,69,69,247,,65.028,1.62,,,,-66,3
690C, 15X ,3,95,97,247,,65.135,1.47,,,,-66,3
690C, 15X ,3,95,97,247,,65.135,1.52,1.15,,,-66,3
690C, 15X ,3,118,118,247,,65.209,1.27,,,,-66,3
690C, 15X ,3,120,122,247,,65.227,1.42,,,,-66,3
690C, 15X ,3,120,122,247,,65.227,,1.25,,,-66,3
690C, 15X ,3,132,136,247,,65.275,1.37,1.34,,,-66,3
690C, 15X ,4,2,4,247,,65.341,1.79,1.63,,,-66,3
690C, 15X ,4,6,8,247,,65.378,1.68,1.6,,,-66,3
690C, 15X ,4,12,14,248,,65.378,2.03,1.67,,,-66,3
690C, 15X ,4,22,24,248,,65.418,2.28,2.02,,,-66,3
690C, 15X ,4,22,24,248,,65.418,,1.82,,,-66,3
690C, 15X ,4,28,30,248,,65.448,2.21,2.12,,,-66,3
690C, 15X ,4,34,36,248,,65.469,2.15,2.14,,,-66,3
690C, 15X ,4,35,37,248,,65.475,2.23,2.1,,,-66,3
690C, 15X ,4,43,45,248,,65.493,2.2,2.24,-1.61,,-66,3
690C, 15X ,4,45,47,248,,65.496,2.2,2.08,,,-66,3
690C, 15X ,4,45,47,248,,65.496,2.02,,,,-66,3
690C, 15X ,4,54,56,248,,65.507,2.01,1.97,,,-66,3
690C, 15X ,4,57,59,248,,65.509,2.21,1.72,,,-66,3
690C, 15X ,4,63,56,248,,65.513,2.2,1.99,,,-66,3
690C, 15X ,4,84,86,248,,65.529,1.96,1.85,,,-66,3
690C, 15X ,4,107,109,248,,65.545,1.87,,,,-66,3
690C, 15X ,4,106,108,248,,65.545,,1.64,,,-66,3
690C, 15X ,4,106,108,248,,65.545,,1.81,,,-66,3
690C, 15X ,4,112,114,249,,65.55,2.26,1.58,,,-66,3
690C, 15X ,4,125,127,249,,65.558,1.72,,,,-66,3
690C, 15X ,4,147,149,249,,65.574,1.61,,,,-66,3
690C, 15X ,4,146,148,249,,65.574,,1.68,,,-66,3
690C, 15X ,5,4,7,249,,65.581,1.66,1.73,,,-66,3
690C, 15X ,5,11,13,249,,65.585,1.51,,,,-66,3
690C, 15X ,5,25,28,249,,65.596,1.8,,,,-66,3
690C, 15X ,5,57,59,249,,65.618,1.59,,-1.72,,-66,3
690C, 15X ,5,68,70,250,,65.624,1.74,,,,-66,3
690C, 15X ,5,76,78,250,,65.628,1.83,,,,-66,3
690C, 15X ,5,93,95,250,,65.644,1.85,,,,-66,3
690C, 15X ,5,107,109,250,,65.655,,,,,-66,3
690C, 15X ,5,110,113,250,,65.681,1.62,,,,-66,3
690C, 15X ,6,14,16,251,,65.696,1.49,,,,-66,3
690C, 15X ,6,24,27,251,,65.705,1.43,,,,-66,3
690C, 15X ,6,45,49,251,,65.719,1.56,,,,-66,3
690C, 15X ,6,66,68,251,,65.734,1.62,,,,-66,3
690C, 15X ,6,76,78,251,,65.742,1.56,,,,-66,3
690C, 15X ,6,96,98,251,,65.757,1.62,1.68,,,-66,3
690C, 15X ,6,120,122,252,,65.774,1.54,,,,-66,3
690C, 15X ,7,6,8,252,,65.801,1.54,,,,-66,3
690C, 15X ,7,6,8,252,,65.801,1.44,1.1,,,-66,3
690C, 15X ,7,16,18,252,,65.807,1.47,,,,-66,3
690C, 15X , CC ,16,20,252,,65.833,1.49,,-2.18,,-66,3
690C, 15X , CC ,16,21,252,,65.833,,,,,-66,3
690C, 16X ,1,39,41,253,,65.839,1.44,,,,-66,3
690C, 15X , CC ,,,253,,65.839,1.51,1.14,,,-66,3
690C, 15X , CC ,,,253,,65.839,,1.41,,,-66,3
690C,14X,4,39,41,238.15,,64.134,,,,,-66,3
690C,14X,5,10,12,239.3,,64.256,,,,2.27,-66,3
690C,14X,5,44,46,239.65,,64.294,,,,,-66,3
690C,14X,5,110,112,240.3,,64.363,,,,2.69,-66,3
