Event,Sample label (DSDP/ODP/IODP sample designation),Depth comp [mcd],Plank foram zone,"Age model [ka] (La2011, Determinded after Din...)",E. edita [#] (Absolute abundance),E. eobulloides [#] (Absolute abundance),E. spiralis [#] (Absolute abundance),G. archeocompressa [#] (Absolute abundance),G. chapmani [#] (Absolute abundance),G. compressa [#] (Absolute abundance),G. ehrenbergi [#] (Absolute abundance),G. imitata [#] (Absolute abundance),G. planocompressa [#] (Absolute abundance),H. holmdelensis [#] (Absolute abundance),H. monmouthensis [#] (Absolute abundance),I. albeari [#] (Absolute abundance),I. pusilla [#] (Absolute abundance),M. acutispira [#] (Absolute abundance),M. angulata [#] (Absolute abundance),M. apanthesma [#] (Absolute abundance),M. conicotruncata [#] (Absolute abundance),M. occlusa [#] (Absolute abundance),M. pasionensis [#] (Absolute abundance),M. praeangulata [#] (Absolute abundance),M. velascoensis [#] (Absolute abundance),P. inconstans [#] (Absolute abundance),P. pseudoinconstans [#] (Absolute abundance),P. taurica [#] (Absolute abundance),P. uncinata [#] (Absolute abundance),G. archeocompressa [#] (Absolute abundance),P. pseudobulloides [#] (Absolute abundance),P. varianta [#] (Absolute abundance),P. variospira [#] (Absolute abundance),S. cancellata [#] (Absolute abundance),S. triangularis [#] (Absolute abundance),S. triloculinoides [#] (Absolute abundance),S. trivialis [#] (Absolute abundance),G. daubjergensis [#] (Absolute abundance),G. cretacea [#] (Absolute abundance),C. midwayensis [#] (Absolute abundance),C. morsei [#] (Absolute abundance),P. alabamensis [#] (Absolute abundance),P. eugubina [#] (Absolute abundance),R. cretacea [#] (Absolute abundance),W. claytonensis [#] (Absolute abundance),W. hornerstownensis [#] (Absolute abundance),Z. waiparaensis [#] (Absolute abundance),A. mayaroensis [#] (Absolute abundance),G. citae [#] (Absolute abundance),G. subcarinatus [#] (Absolute abundance),G. aegyptiaca [#] (Absolute abundance),G. arca [#] (Absolute abundance),G. falsostuarti [#] (Absolute abundance),G. havanensis [#] (Absolute abundance),G. petaloidea [#] (Absolute abundance),G. conica [#] (Absolute abundance),G. stuarti [#] (Absolute abundance),H. navarroensis [#] (Absolute abundance),P. costulata [#] (Absolute abundance),P. palpebra [#] (Absolute abundance),P. elegans [#] (Absolute abundance),R. fructicosa [#] (Absolute abundance),R. glabrata [#] (Absolute abundance),R. contusa [#] (Absolute abundance),R. hexacamerata [#] (Absolute abundance),R. macrocephala [#] (Absolute abundance),R. reicheli [#] (Absolute abundance),R. rugosa [#] (Absolute abundance),R. scotti [#] (Absolute abundance),Foram benth [#] (Absolute abundance),Foram rew cret [#] (Absolute abundance)
208-1262B,208-1262B-19H-5,185.05,P3b,60976.519,0,0,0,0,12,0,1,0,0,0,0,10,2,1,37,53,0,45,1,0,0,0,0,0,0,0,1,30,3,67,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
208-1262C,208-1262C-10H-3,186.51,P3b,61138.48,0,0,0,0,16,0,0,2,0,0,0,6,0,1,19,84,2,34,5,0,3,0,0,0,0,0,0,21,3,84,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
208-1262C,208-1262C-10H-3,187.23,P3b,61230.571,0,0,0,0,23,0,5,1,0,0,0,6,0,1,20,82,1,24,1,0,4,0,0,0,0,0,0,13,5,93,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
208-1262C,208-1262C-10H-4,187.95,P3b,61300.514,0,0,0,0,21,0,1,6,0,0,0,6,0,1,19,75,1,41,4,0,1,0,0,0,0,0,0,24,7,53,18,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
208-1262C,208-1262C-10H-4,188.67,P3b,61408,0,0,0,0,16,0,1,0,0,0,0,9,0,0,36,87,2,30,4,0,1,0,0,0,0,0,0,29,7,56,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
208-1262C,208-1262C-10H-5,189.39,P3b,61497.2,0,0,0,0,18,0,1,2,0,0,0,5,1,0,21,70,6,29,3,0,5,0,0,0,0,0,0,53,9,62,4,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
208-1262C,208-1262C-10H-5,190.11,P3b,61574.58,0,0,0,0,37,0,3,0,0,0,0,7,3,0,22,32,0,8,0,0,2,0,0,0,0,0,0,50,5,110,5,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
208-1262C,208-1262C-10H-6,190.83,P3b,61657.724,0,0,0,0,34,0,20,0,0,0,0,19,0,0,28,25,0,4,0,0,0,0,0,0,0,0,2,59,4,80,9,8,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
208-1262B,208-1262B-20H-2,191.56,P3b,61746.244,0,0,0,0,17,0,10,1,0,0,0,5,1,0,13,38,2,0,0,0,0,0,0,0,0,0,0,90,34,66,7,10,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
208-1262B,208-1262B-20H-3,192.28,P3b,61825.245,0,0,0,0,26,0,14,0,0,0,0,12,2,0,26,37,0,0,0,0,1,0,0,0,0,0,2,51,8,89,3,20,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
