Sample,Removed,Site,Site_grp,Taxa,Taxa_grp,Mineralogy,meter,Strat_height_other,lat,lng,AMNH_loc,Series,Stage,Formation,Biozone_macro,Biozone_nano,Biozone_foram,Dissolution,Secondary_growth,SEM_score,ppm Sr in powder (mg/g),ppt Mg in powder (mg/g),ppm Ba in powder (ug/g),ppm Mn in powder (ug/g),ppm Fe in powder (ug/g),Trace_score,Removed,Nreps_good,d13C_PDB,sd13,d18O_PDB,d18O_SMOW,sd18,D47_CDES90adj,intse47adj,lt95ci47,D48_CDES90adj,intse48adj,lt95ci48,Temp,intseT,Tmin,Tmax,lt95ciT,dw,intsedw,dwmin,dwmax,lt95cidw
PROSANGIYROT,N,ProvSands,NA,Glycymeris rotundata,Clam,,,Extreme top of exogyra costata zone,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,2.683,0.56,14.072,4.649,0.115,,,3,-1.269371034,0.168352343,-1.031816108,29.84629046,0.040532078,0.577247595,0.015925061,0.02201784,0.213290297,0.057895272,0.090131324,30.8,5.75,23.2,39,7.9,1.725580928,1.15455637,0.176151421,3.31424139,1.569044985
PROSANTELSP,N,ProvSands,NA,Tellina sp.,Clam,,,Extreme top of exogyra costata zone,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,3.053,0.159,19.598,8.152,39.713,,,3,-1.083945048,0.011185274,-1.068081256,29.80890435,0.009260629,0.597711658,0.007421966,0.02201784,0.201662955,0.035533991,0.090131324,23.7,2.5,16.6,31.4,7.4,0.280854079,0.51643464,-1.203381975,1.814320196,1.508851086
Mal-MS-3.5-nuculid0,N,Malvern,Malvern,Nuculana,Clam,,3.5,,34.376944,-91.851667,3596,Paleocene,Danian,Clayton,,,,0,0,GOOD,4.9,0.2,85.118,6.679,47.153,,,3,2.17836844,0.019404445,-1.316461011,29.55284718,0.102139547,0.589543933,0.001149074,0.02201784,0.205641643,0.030941764,0.090131324,26.5,0.4,19.2,34.3,7.55,1.375325357,0.179775351,-0.227260386,3.004604689,1.615932537
TCC_PUL_+1.4,N,TrimCane,Avalon-TrimCane,Ostrea pulaskensis,Oyster,,1.4,,33.440737,-88.9084,3944,Paleocene,Danian,Clayton,,,P1c,0,0,GOOD,1.047,1.909,5.444,66.733,50.549,,,3,0.423809166,0.027512786,-0.602558921,30.28881598,0.104783385,0.629059172,0.005094198,0.02201784,0.273983604,0.068880643,0.090131324,13.7,1.55,7.3,20.6,6.65,-1.35214761,0.437932532,-2.873086039,0.212802088,1.542944063
OC-33-15886,N,OwlCreek,OwlCreek,Gervilliopsis ensiformis,Clam,,1.5,,34.748611,-88.911667,3460,Upper Cretaceous,Maastrichtian,Owl Creek,Discoscaphites iris,CC26b,"UC20d,TP",,,GOOD,2.233,0.171,6.891,2.858,51.226,,,3,2.132715689,0.060234209,-0.281033942,30.6202793,0.047378812,0.599721045,0.004197406,0.02201784,0.195884958,0.022298373,0.090131324,23,1.4,16,30.6,7.3,0.926452725,0.331696016,-0.581386338,2.485690689,1.533538514
Mal-MS-40-Lucinid,N,Malvern,Malvern,Lucinidae,Clam,,4,,34.376944,-91.851667,3596,Paleocene,Danian,Clayton,,,,,,,2.652,0.161,53.893,55.087,52.632,,,5,0.387243964,0.129371055,-1.478064583,29.38624844,0.071290399,0.592765356,0.005829675,0.017054945,0.228096862,0.012055975,0.069815423,25.4,2,19.7,31.3,5.8,0.991346241,0.474309916,-0.25383139,2.23294445,1.24338792
BRAZOS-1.1OYSTER,N,Brazos,Brazos,oyster,Oyster,,-1.1,,31.115717,-96.832697,3621,Upper Cretaceous,Maastrichtian,Corsicana,Discoscaphites iris,CC26b,CF1,0,0,GOOD,2.349,0.135,19.309,2.552,64.343,,,3,0.39212383,0.011137054,-2.366496644,28.47035494,0.082686685,0.605335656,0.008218386,0.02201784,0.243335106,0.023269601,0.090131324,21.2,2.7,14.3,28.6,7.15,-0.760714046,0.641817396,-2.309076816,0.821888304,1.56548256
-1NUCULANA,N,Malvern,Malvern,Nuculana,Clam,,-1,,34.376944,-91.851667,3596,Upper Cretaceous,Maastrichtian,Arkadelphia,Discoscaphites iris,,,1,1,OK,2.591,0.183,49.866,12.597,76.75,,,3,2.359314132,0.025653008,-1.308543122,29.56100981,0.072867849,0.600944882,0.003871719,0.02201784,0.27827481,0.018077258,0.090131324,22.6,1.25,15.6,30.2,7.3,0.589028999,0.32863884,-0.959368784,2.189378956,1.57437387
PROSANLINSP,N,ProvSands,NA,Linearia sp.,Clam,,,Exo cost. General,31.7,-85.1,,Upper Cretaceous,Maastrichtian,,Exogyra costata,,,,,,2.741,0.126,11.162,4.171,94.98,,,3,2.198935284,0.021721185,-0.345367459,30.55395723,0.061990731,0.608947686,0.011246777,0.02201784,0.29427227,0.049864019,0.090131324,20,3.6,13.2,27.4,7.1,0.243844078,0.809470265,-1.263943583,1.807329204,1.535636393
ESP+0.7_OY_3461,N,EllisSandPit,EllisSandPit,oyster,Oyster,,0,,34.55245,-88.986997,3461,,,,,,,0,1,GOOD,1.34,1.029,5.896,23.475,95.423,,,3,2.162740767,0.017756785,-0.945892474,29.93486999,0.013881686,0.597094986,0.008377242,0.02201784,0.208947141,0.012847322,0.090131324,23.9,2.85,16.8,31.6,7.4,1.219457776,0.596601683,-0.281006619,2.769625129,1.525315874
