meter,Age (kyrs BP),Age (Ma),d13C_PDB,d18O_PDB,lat,lng
0.96,65972,65.972,1.9977,-3.1206,43.3,-2.26
1.47,65930,65.93,1.7258,-2.9654,43.3,-2.26
1.95,65887,65.887,2.12,-3.3612,43.3,-2.26
2.32,65851,65.851,2.0599,-3.1714,43.3,-2.26
2.59,65825,65.825,2.1733,-3.4525,43.3,-2.26
2.82,65802,65.802,2.2694,-3.2886,43.3,-2.26
3.04,65781,65.781,2.2425,-3.2683,43.3,-2.26
3.28,65758,65.758,2.1741,-3.3686,43.3,-2.26
3.48,65738,65.738,2.1466,-3.0517,43.3,-2.26
3.63,65724,65.724,2.1071,-2.8714,43.3,-2.26
3.89,65699,65.699,1.8981,-2.7278,43.3,-2.26
4.14,65677,65.677,2.1909,-2.851,43.3,-2.26
4.48,65647,65.647,2.2124,-3.0385,43.3,-2.26
4.8,65619,65.619,2.1146,-3.1516,43.3,-2.26
5.11,65594,65.594,2.0315,-3.5383,43.3,-2.26
5.42,65575,65.575,2.024,-2.9956,43.3,-2.26
5.77,65554,65.554,2.035,-3.4094,43.3,-2.26
6.06,65536,65.536,1.9638,-3.1884,43.3,-2.26
6.34,65516,65.516,1.9433,-3.0395,43.3,-2.26
6.65,65492,65.492,1.664,-3.316,43.3,-2.26
6.96,65468,65.468,1.746,-3.469,43.3,-2.26
7.17,65452,65.452,1.78,-3.432,43.3,-2.26
7.42,65432,65.432,1.843,-3.047,43.3,-2.26
7.61,65417,65.417,1.643,-3.143,43.3,-2.26
7.93,65391,65.391,1.89,-3.106,43.3,-2.26
8.28,65363,65.363,1.812,-3.175,43.3,-2.26
8.53,65343,65.343,1.74,-3.234,43.3,-2.26
8.83,65316,65.316,1.711,-2.806,43.3,-2.26
9.1,65289,65.289,1.776,-2.99,43.3,-2.26
9.42,65258,65.258,1.927,-2.705,43.3,-2.26
9.63,65237,65.237,1.742,-3.195,43.3,-2.26
9.88,65217,65.217,1.76,-3.202,43.3,-2.26
10.16,65201,65.201,1.73,-3.264,43.3,-2.26
10.48,65183,65.183,1.84,-3.399,43.3,-2.26
10.71,65169,65.169,1.877,-3.159,43.3,-2.26
10.9,65158,65.158,1.769,-3.205,43.3,-2.26
11.17,65142,65.142,1.841,-3.141,43.3,-2.26
11.42,65123,65.123,1.872,-3.012,43.3,-2.26
11.59,65101,65.101,1.815,-2.937,43.3,-2.26
11.79,65075,65.075,1.834,-3.012,43.3,-2.26
11.95,65054,65.054,1.81,-2.96,43.3,-2.26
12.14,65029,65.029,1.881,-3.214,43.3,-2.26
12.3,65003,65.003,1.743,-3.151,43.3,-2.26
12.51,64970,64.97,1.767,-3.126,43.3,-2.26
12.65,64948,64.948,1.744,-2.466,43.3,-2.26
13.01,64906,64.906,1.739,-2.597,43.3,-2.26
13.2,64887,64.887,1.992,-2.484,43.3,-2.26
13.45,64862,64.862,1.771,-2.894,43.3,-2.26
13.63,64844,64.844,1.872,-2.868,43.3,-2.26
13.79,64828,64.828,1.729,-2.961,43.3,-2.26
14,64810,64.81,1.612,-3.009,43.3,-2.26
14.25,64788,64.788,1.782,-2.604,43.3,-2.26
14.46,64769,64.769,1.916,-2.143,43.3,-2.26
14.6,64757,64.757,1.788,-2.489,43.3,-2.26
14.76,64743,64.743,1.918,-2.518,43.3,-2.26
14.92,64729,64.729,1.846,-2.566,43.3,-2.26
15.12,64712,64.712,1.934,-2.543,43.3,-2.26
15.31,64695,64.695,1.904,-2.939,43.3,-2.26
15.54,64675,64.675,1.913,-2.659,43.3,-2.26
15.73,64658,64.658,1.774,-2.784,43.3,-2.26
15.86,64647,64.647,1.594,-2.456,43.3,-2.26
16.09,64626,64.626,1.715,-2.606,43.3,-2.26
16.34,64600,64.6,1.757,-3.168,43.3,-2.26
16.55,64579,64.579,1.749,-3.041,43.3,-2.26
16.65,64569,64.569,1.656,-2.849,43.3,-2.26
16.83,64550,64.55,1.846,-2.902,43.3,-2.26
17.04,64529,64.529,1.768,-2.654,43.3,-2.26
17.24,64502,64.502,1.723,-2.429,43.3,-2.26
17.42,64477,64.477,1.773,-2.746,43.3,-2.26
