meter,Age model (Ka),Age (Ma),Comm,Reference
156.39,43512,43.512,tuned to Atlantic composite,this study
156.74,43615,43.615,tuned to Atlantic composite,this study
158.04,43895,43.895,tuned to Atlantic composite,this study
162.9,45079,45.079,tuned to Atlantic composite,this study
164.76,45492,45.492,tuned to Atlantic composite,this study
165.4,45572,45.572,tuned to Atlantic composite,this study
170.16,46391,46.391,tuned to Atlantic composite,this study
172.16,46741,46.741,tuned to Atlantic composite,this study
174.58,47243,47.243,tuned to Atlantic composite,this study
176.88,47661,47.661,tuned to Atlantic composite,this study
178.48,47949,47.949,tuned to Atlantic composite,this study
181.05,48371,48.371,tuned to Atlantic composite,this study
181.65,48545,48.545,tuned to Atlantic composite,this study
184.75,49159,49.159,tuned to Atlantic composite,this study
186.87,49560,49.56,tuned to Atlantic composite,this study
187.55,49686,49.686,tuned to Atlantic composite,this study
189.05,49865,49.865,tuned to Atlantic composite,this study
189.9,49950,49.95,tuned to Atlantic composite,this study
190.6,50068,50.068,tuned to Atlantic composite,this study
192.66,50365,50.365,tuned to Atlantic composite,this study
193.66,50498,50.498,tuned to Atlantic composite,this study
194.6,50680,50.68,tuned to Atlantic composite,this study
195.24,50770,50.77,tuned to Atlantic composite,this study
195.7,50865,50.865,tuned to Atlantic composite,this study
196.32,50950,50.95,tuned to Atlantic composite,this study
196.7,51033,51.033,tuned to Atlantic composite,this study
197.3,51141,51.141,tuned to Atlantic composite,this study
197.95,51193,51.193,tuned to Atlantic composite,this study
198.98,51346,51.346,tuned to Atlantic composite,this study
199.58,51458,51.458,tuned to Atlantic composite,this study
200.01,51556,51.556,tuned to Atlantic composite,this study
201.21,51846,51.846,tuned to Atlantic composite,this study
202.01,51970,51.97,tuned to Atlantic composite,this study
202.31,52014,52.014,tuned to Atlantic composite,this study
202.57,52055,52.055,tuned to Atlantic composite,this study
203.16,52190,52.19,tuned to Atlantic composite,this study
203.5,52251,52.251,tuned to Atlantic composite,this study
204.21,52375,52.375,tuned to Atlantic composite,this study
204.71,52470,52.47,tuned to Atlantic composite,this study
205.1,52540,52.54,tuned to Atlantic composite,this study
205.43,52612,52.612,tuned to Atlantic composite,this study
206.18,52745,52.745,tuned to Atlantic composite,this study
206.71,52833,52.833,tuned to Atlantic composite,this study
206.91,52882,52.882,tuned to Atlantic composite,this study
207.17,52935,52.935,tuned to Atlantic composite,this study
207.29,52956,52.956,tuned to Atlantic composite,this study
208.49,53213,53.213,tuned to Atlantic composite,this study
208.71,53243,53.243,tuned to Atlantic composite,this study
209.96,53534,53.534,tuned to Atlantic composite,this study
