family,genus,mobility,substrate,feeding,fixation,functional_reference,FGnum,min,org,base_op_s,base,base_mid,top_op_s,top,top_mid,op_base,op_base_mid,op_top_mid,op_top,gen_laztax,age,gen.surv,known_fossil_record
Anatinellidae,Anatinella,mobile,shallow_infaunal_siphonate,surface_deposit,unattached,"feeding Barnes & Morton 1997; no paillial sinus, ""at most only very short siphons"" - Signorelli & Carter 2016; rel to mactrids so taken to have short siphons",21,NA,NA,Tortonian,11.63,9.44,Recent,0,0,11.63,9.44,0,0,FALSE,Rec,R,yes
Anomiidae,Anomia,immobile,epifaunal,suspension,cemented,Yonge 1977 (calcified byssus); Zhongyan 2004 says calcified byssus,7,2.5,2,Aptian_lower,126.3,124.65,Recent,0,0,126.3,124.65,0,0,FALSE,both,S,yes
Anomiidae,Enigmonia,mobile,epifaunal,suspension,byssate,"Yonge 1977 ""as flat mobile individuals on leaves of mangroves"", Table 1 for non calcified byssus and temporary byssal attachment; Zhongyan 2004 says byssate; Huber 2015 says temporarily attached by byssus to stems of palms, mangrove roots, stumps of trees, etc.",4,NA,NA,Ypresian_lower,56,53.95,Recent,0,0,56,53.95,0,0,FALSE,Rec,R,yes
Anomiidae,Heteranomia,immobile,epifaunal,suspension,cemented,"Yonge 1977 for calcified byssus; Huber 2015 ""byssally attached to hard substrates (rocks, stones, shells, buoys)""",7,NA,NA,Ypresian_lower,56,53.95,Recent,0,0,56,53.95,0,0,FALSE,Rec,R,yes
Anomiidae,Isomonia,immobile,epifaunal,suspension,cemented,"Huber 2015 for I. umbonata as attached by calcified byssus to rocks, shells, and on corals; not in Yonge 1977",7,NA,NA,Serravallian,13.82,12.725,Recent,0,0,13.82,12.725,0,0,FALSE,Rec,R,yes
Anomiidae,Monia,immobile,epifaunal,suspension,cemented,Yonge 1977 (calcified byssus); Zhongyan 2004 says calcified byssus,7,NA,NA,Rupelian_lower,33.9,32.45,Recent,0,0,33.9,32.45,0,0,FALSE,Rec,R,yes
Anomiidae,Paranomia,immobile,epifaunal,suspension,cemented,"Treatise:383 ""Byssal foramen closed in adult""; good description of morphology in Stephenson 1923:235, but does not mention attachement mode; not in Yonge 1977",7,2.5,2,Santonian_upper,85,84.3,Maastrichtian,66,69.1,85,84.3,69.1,66,FALSE,Maas,V,yes
Anomiidae,Patro,immobile,epifaunal,suspension,byssate,"Yonge 1977:481-482 descr. byssal notch as smaller than in Anomia, and the 'under' valve as sculptured and may covered in encrusting organisms. Draws probable life positino in Fig. 21 as pleurthetic and bysally attached; Yonge 1980:143 as ""adapted for life on a more uneven surface and under more turbid conditions"" than Anomia, per Beu 1967",8,NA,NA,Messinian_lower,7.25,6.77,Recent,0,0,7.25,6.77,0,0,FALSE,Rec,R,yes
Anomiidae,Placunanomia,immobile,epifaunal,suspension,cemented,"Huber 2015 for P. cumingii as ""partially cemented to broken shell and rock bottom""; NMITA as epifaunal recliner, immobile, cemented",7,NA,NA,Chattian,28.1,25.565,Recent,0,0,28.1,25.565,0,0,FALSE,Rec,R,yes
Anomiidae,Placunopsis,immobile,epifaunal,suspension,cemented,"Hodges 2022:207 suggests attached to hard substrate via byssal plug in right valve, notes probable cementation given ""xenomorphic ornament when attached to substrates such as ammonite shells""; not in Yonge 1977",7,2,2,Hettangian_upper,199.97,199.635,Maastrichtian_upper,66,67.5,199.97,199.635,67.5,66,FALSE,Maas,V,yes
