Sample ,Amount (mg),PeakArea C (Vs),percent C,percentC Accuracy ,percent C Precision ,d13C_VPDB,d13C_accuracy,d13C_precision
1000,1.2,319.72,4.01,-0.63,0.4,-25.01,-0.13,0.03
900,17.63,208.24,0.18,-0.63,0.4,-23.51,-0.13,0.03
800,13.01,642.77,0.73,-0.63,0.4,-25.66,-0.13,0.03
700,10.52,555.49,0.79,-0.63,0.4,-23.91,-0.13,0.03
600,4.55,296.62,0.98,-0.63,0.4,-23.96,-0.13,0.03
500,9.15,831.51,1.34,-0.63,0.4,-24.82,-0.13,0.03
400,0.19,1116.5,86.7,-0.63,0.4,-27.11,-0.13,0.03
300,10.33,206.42,0.31,-0.63,0.4,-24.44,-0.13,0.03
200,12.62,715.83,0.84,-0.63,0.4,-24.43,-0.13,0.03
100,6.62,676.44,1.52,-0.63,0.4,-25.18,-0.13,0.03
90,0.98,546.63,8.3,-0.63,0.4,-26.07,-0.13,0.03
80,9.94,590.95,0.88,-0.63,0.4,-24.37,-0.13,0.03
65,9.75,523.01,0.8,-0.63,0.4,-24.39,-0.13,0.03
55,11.33,454.11,0.6,-0.63,0.4,-24.26,-0.13,0.03
50,10.15,666.82,0.97,-0.63,0.4,-24.54,-0.13,0.03
45,9.72,657.58,1,-0.63,0.4,-24.68,-0.13,0.03
40,9.37,703.01,1.11,-0.63,0.4,-24.68,-0.13,0.03
35,10.46,781.38,1.11,-0.63,0.4,-24.68,-0.13,0.03
30,1.41,262.6,2.82,-0.63,0.4,-25.08,-0.13,0.03
25,1.1,608,8.21,-0.63,0.4,-25.63,-0.13,0.03
21,0.37,129.19,5.47,-0.63,0.4,-25.46,-0.13,0.03
18,1.64,175.07,1.64,-0.63,0.4,-24.34,-0.13,0.03
10,0.2,871.98,64.47,-0.63,0.4,-26.28,-0.13,0.03
6,1.65,264.64,2.43,-0.63,0.4,-24.27,-0.13,0.03
5.5,0.17,1158.36,100.51,-0.63,0.4,-26.6,-0.13,0.03
5,1.26,742.62,8.73,-0.63,0.4,-25.59,-0.13,0.03
4,0.17,1171.7,101.65,-0.63,0.4,-26.39,-0.13,0.03
2,3.71,639.99,2.56,-0.63,0.4,-25.36,-0.13,0.03
1,4.13,674.38,2.42,-0.63,0.4,-25.44,-0.13,0.03
-5,1.27,507.85,5.96,-0.63,0.4,-26.09,-0.13,0.03
-10,1.37,633.34,6.84,0.89,1.03,-25.8,-0.2,0.03
-15,1.37,488.41,5.48,0.89,1.03,-25.45,-0.2,0.03
-20,0.36,150.65,8.34,0.89,1.03,-25.76,-0.2,0.03
-25,1.5,395.91,4.19,0.89,1.03,-25.81,-0.2,0.03
-30,1.18,367.65,5,0.89,1.03,-25.69,-0.2,0.03
-35,1.1,390.19,5.61,0.89,1.03,-25.84,-0.2,0.03
-40,1.1,393.26,5.65,0.89,1.03,-25.74,-0.2,0.03
-45,1.12,397.29,5.59,0.89,1.03,-25.63,-0.2,0.03
-50,1.26,207.13,2.99,0.89,1.03,-24.61,-0.2,0.03
-60,1.34,345.51,4.17,0.89,1.03,-25.71,-0.2,0.03
-70,5.69,822.77,2.09,0.89,1.03,-25.56,-0.2,0.03
-80,15.73,490.17,0.48,0.89,1.03,-24.81,-0.2,0.03
-90,15.62,435.42,0.43,0.89,1.03,-24.82,-0.2,0.03
-100,15.37,391.31,0.4,0.89,1.03,-24.75,-0.2,0.03
-200,15.63,407,0.41,0.89,1.03,-24.56,-0.2,0.03
-300,5.66,253.03,0.77,0.89,1.03,-25.13,-0.2,0.03
-400,5.08,302.42,0.99,0.89,1.03,-25.44,-0.2,0.03
-500,6.29,262.01,0.72,0.89,1.03,-24.82,-0.2,0.03
-600,4.93,254.54,0.89,0.89,1.03,-24.91,-0.2,0.03
-700,10.8,866.61,1.15,0.89,1.03,-26.42,-0.2,0.03
-800,15.68,474.36,0.47,0.89,1.03,-24.72,-0.2,0.03
-900,14.3,577.79,0.61,0.89,1.03,-24.66,-0.2,0.03
-1000,17.1,447.09,0.41,0.89,1.03,-24.26,-0.2,0.03
