Expedition,Site,Hole,Core,Section,Top Depth (cm),Bottom Depth (cm),Depth (mbsf),Depth (rmcd),Depth (rmcd adj),Age (Ma),Material,d13C,d18O,Lab,Source
198,1209,A,25,6,112,,235.32,261.6,261.6,66.025,bulk forams ,1.494,-0.637,Bremen,BD
198,1209,A,25,6,108,,235.28,261.56,261.56,66.017,bulk forams ,1.538,-0.581,Bremen,BD
198,1209,A,25,6,108,,235.28,261.56,261.56,66.017,bulk forams ,1.547,-0.576,Bremen,BD
198,1209,A,25,6,108,,235.28,261.56,261.56,66.017,bulk forams ,1.609,-0.536,Bremen,BD
198,1209,A,25,6,104,,235.24,261.52,261.52,66.008,bulk forams ,1.404,-0.703,Bremen,BD
198,1209,A,25,6,96,,235.16,261.44,261.44,65.988,bulk forams ,1.373,-0.721,Bremen,BD
198,1209,A,25,6,80,,235,261.28,261.28,65.95,bulk forams ,1.524,-0.786,Bremen,BD
198,1209,A,25,6,60,,234.8,261.08,261.08,65.902,bulk forams ,1.355,-1.089,Bremen,BD
198,1209,A,25,6,48,,234.68,260.96,260.96,65.877,bulk forams ,1.293,-1.078,Bremen,BD
198,1209,A,25,6,40,,234.6,260.88,260.88,65.859,bulk forams ,1.267,-0.951,Bremen,BD
198,1209,A,25,6,32,,234.52,260.8,260.8,65.842,bulk forams ,1.221,-0.908,Bremen,BD
198,1209,A,25,6,28,,234.48,260.76,260.76,65.834,bulk forams ,1.282,-1.07,Bremen,BD
198,1209,A,25,6,16,,234.36,260.64,260.64,65.808,bulk forams ,0.662,-2.277,Bremen,BD
198,1209,A,25,6,8,,234.28,260.56,260.56,65.793,bulk forams ,1.214,-1.165,Bremen,BD
198,1209,A,25,6,8,,234.28,260.56,260.56,65.793,bulk forams ,1.168,-1.062,Bremen,BD
198,1209,A,25,6,8,,234.28,260.56,260.56,65.793,bulk forams ,1.299,-1.055,Bremen,BD
198,1209,A,25,6,4,,234.24,260.52,260.52,65.786,bulk forams ,1.136,-1.116,Bremen,BD
198,1209,C,15,2,132,,233.82,260.44,260.365,65.757,bulk forams ,1.177,-1.02,Bremen,BD
198,1209,C,15,2,120,,233.7,260.32,260.235,65.732,bulk forams ,1.169,-0.936,Bremen,BD
198,1209,C,15,2,112,,233.62,260.24,260.1483333,65.716,bulk forams ,1.068,-1.067,Bremen,BD
198,1209,C,15,2,104,,233.54,260.16,260.0681206,65.686,bulk forams ,1.055,-0.954,Bremen,BD
198,1209,C,15,2,96,,233.46,260.08,259.9943617,65.637,bulk forams ,1.135,-0.835,Bremen,BD
198,1209,C,15,2,88,,233.38,260,259.9206028,65.596,bulk forams ,1.088,-0.823,Bremen,BD
198,1209,C,15,2,80,,233.3,259.92,259.846844,65.578,bulk forams ,0.979,-0.921,Bremen,BD
198,1209,C,15,2,76,,233.26,259.88,259.8099645,65.569,bulk forams ,1.109,-0.843,Bremen,BD
198,1209,C,15,2,60,,233.1,259.72,259.6624468,65.533,bulk forams ,0.976,-0.86,Bremen,BD
198,1209,C,15,2,60,,233.1,259.72,259.6624468,65.533,bulk forams ,1.107,-0.793,Bremen,BD
198,1209,C,15,2,60,,233.1,259.72,259.6624468,65.533,bulk forams ,1.156,-0.794,Bremen,BD
198,1209,C,15,2,48,,232.98,259.6,259.5518085,65.513,bulk forams ,1.183,-0.73,Bremen,BD
198,1209,C,15,2,36,,232.86,259.48,259.4411702,65.495,bulk forams ,1.281,-0.872,Bremen,BD
198,1209,C,15,2,20,,232.7,259.32,259.2936525,65.471,bulk forams ,1.205,-0.72,Bremen,BD
198,1209,C,15,2,12,,232.62,259.24,259.2198936,65.46,bulk forams ,1.334,-0.73,Bremen,BD
198,1209,C,15,2,8,,232.58,259.2,259.1830142,65.454,bulk forams ,1.227,-0.794,Bremen,BD
198,1209,C,15,2,0,,232.5,259.12,259.1092553,65.442,bulk forams ,1.273,-0.599,Bremen,BD
198,1209,C,15,1,138,,232.38,259,258.998617,65.409,bulk forams ,1.282,-0.813,Bremen,BD
198,1209,C,15,1,130,,232.3,258.92,258.9248582,65.379,bulk forams ,1.288,-0.706,Bremen,BD
198,1209,C,15,1,118,,232.18,258.8,258.8142199,65.335,bulk forams ,1.293,-0.715,Bremen,BD
198,1209,C,15,1,110,,232.1,258.72,258.7345513,65.314,bulk forams ,1.192,-0.891,Bremen,BD
