Sample label,d13C,d18O,mbsf,mcd,"age DT14/Woelders17, La11",Source,comment
"208-1262C-12H-3,98-99",1.18,0.02,187.985,206.765,64.00230357,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,101-102",1.08,-0.22,188.015,206.795,64.00798214,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,103-104",1.20,0.07,188.035,206.815,64.01176786,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,107-108",1.28,0.05,188.075,206.855,64.01933929,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,111-112",1.28,0.12,188.115,206.895,64.02691071,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,113-114",1.18,-0.07,188.135,206.915,64.03069643,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,116-117",1.13,-0.21,188.165,206.945,64.036375,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,119-120",1.14,-0.11,188.195,206.975,64.04205357,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,125-126",1.22,-0.03,188.255,207.035,64.05341071,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,128-129",1.13,-0.15,188.285,207.065,64.05908929,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,131-132",1.16,-0.01,188.315,207.095,64.06476786,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,135-136",1.22,-0.02,188.355,207.135,64.07233929,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,137-138",1.21,-0.03,188.375,207.155,64.076125,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,141-142",1.12,-0.08,188.415,207.195,64.08369643,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,144-145",1.26,0.11,188.445,207.225,64.089375,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,146-147",1.24,0.08,188.465,207.245,64.09316071,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-3,149-150",1.19,-0.08,188.495,207.275,64.09928125,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-4,3-4",1.18,-0.21,188.535,207.315,64.10803125,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-4,13-14",1.31,0.06,188.635,207.415,64.12990625,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-4,20-21",1.28,-0.14,188.705,207.485,64.14521875,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-4,26-27",1.44,0.07,188.765,207.545,64.15834375,Barnet et al. (2019),benthic foraminifera
"208-1262C-12H-4,29-30",1.47,0.08,188.795,207.575,64.16490625,Barnet et al. (2019),benthic foraminifera
