Leg,Site,Hole,Core,type,section,"top, cm","bottom,cm",mbsf,mcd,rmcd,d13C,d18O,age DT14
208,1267,A,30,X,5,92,93,280.62,313.63,313.47,2.018,0.384,64.7852963
208,1267,A,30,X,5,95,96,280.65,313.66,313.5,2.024,-0.073,64.79068519
208,1267,A,30,X,5,98,99,280.68,313.69,313.53,2.112,0.107,64.79607407
208,1267,A,30,X,5,101,102,280.71,313.72,313.56,2.072,-0.034,64.80146296
208,1267,A,30,X,5,104,105,280.74,313.75,313.59,2.01,0.153,64.80685185
208,1267,A,30,X,5,107,108,280.77,313.78,313.62,2.142,-0.01,64.81224074
208,1267,A,30,X,5,110,111,280.8,313.81,313.65,2.129,0.015,64.81762963
208,1267,A,30,X,5,113,114,280.83,313.84,313.68,2.22,-0.088,64.82301852
208,1267,A,30,X,5,116,117,280.86,313.87,313.71,2.167,-0.07,64.82840741
208,1267,A,30,X,5,119,120,280.89,313.9,313.74,2.121,-0.206,64.83494118
208,1267,A,30,X,5,122,123,280.92,313.93,313.77,2.109,-0.225,64.84376471
208,1267,A,30,X,5,125,126,280.95,313.96,313.8,2.066,-0.307,64.85258824
208,1267,A,30,X,5,128,129,280.98,313.99,313.83,2.05,-0.331,64.86141176
208,1267,A,30,X,5,131,132,281.01,314.02,313.86,1.994,-0.466,64.87023529
208,1267,A,30,X,5,134,135,281.04,314.05,313.89,,-0.418,64.87905882
208,1267,A,30,X,5,137,138,281.07,314.08,313.92,1.861,-0.538,64.88788235
208,1267,A,30,X,5,140,141,281.1,314.11,313.95,1.853,-0.566,64.89670588
208,1267,A,30,X,5,143,144,281.13,314.14,313.98,1.858,-0.541,64.90552941
208,1267,A,30,X,5,146,147,281.16,314.17,314.01,1.795,-0.394,64.91435294
208,1267,A,30,X,5,149,150,281.19,314.2,314.04,1.635,-0.525,64.92317647
208,1267,A,30,X,6,1,2,281.21,314.22,314.06,1.67,-0.7,64.92905882
208,1267,A,30,X,6,1,2,281.21,314.22,314.06,1.791,-0.526,64.92905882
208,1267,A,30,X,6,4,5,281.24,314.25,314.09,1.854,-0.308,64.93612
208,1267,A,30,X,6,7,8,281.27,314.28,314.12,1.884,-0.387,64.9423
208,1267,A,30,X,6,10,11,281.3,314.31,314.15,1.896,-0.303,64.94848
208,1267,A,30,X,6,13,14,281.33,314.34,314.18,2.018,-0.215,64.95466
208,1267,A,30,X,6,16,17,281.36,314.37,314.21,2.001,-0.175,64.96084
208,1267,A,30,X,6,19,20,281.39,314.4,314.24,2.045,-0.27,64.96702
208,1267,A,30,X,6,22,23,281.42,314.43,314.27,2.081,-0.117,64.9732
208,1267,A,30,X,6,25,26,281.45,314.46,314.3,2.023,-0.284,64.97938
208,1267,A,30,X,6,25,26,281.45,314.46,314.3,2.081,-0.217,64.97938
208,1267,A,30,X,6,28,29,281.48,314.49,314.33,2.107,-0.287,64.98556
208,1267,A,30,X,6,31,32,281.51,314.52,314.36,1.998,-0.107,64.99174
208,1267,A,30,x,6,32,34,281.52,314.53,314.37,2.076,-0.248,64.9938
208,1267,A,30,X,6,36,37,281.56,314.57,314.41,2.063,-0.089,65.00204
208,1267,A,30,X,6,39,40,281.59,314.6,314.44,2.047,-0.195,65.00822
208,1267,A,30,X,6,42,43,281.62,314.63,314.47,2.053,-0.261,65.0144
208,1267,A,30,X,6,45,46,281.65,314.66,314.5,2.032,-0.022,65.02058
208,1267,A,30,X,6,48,50,281.68,314.69,314.53,2.011,0.129,65.02676
208,1267,A,30,X,6,52,53,281.72,314.73,314.57,1.953,-0.018,65.035
208,1267,A,30,X,6,55,56,281.75,314.76,314.6,2.104,-0.067,65.0386375
208,1267,A,30,X,6,58,60,281.78,314.79,314.63,2.074,-0.126,65.042275
208,1267,A,30,X,6,62,63,281.82,314.83,314.67,2.106,-0.092,65.047125
208,1267,A,30,X,6,65,66,281.85,314.86,314.7,2.107,-0.152,65.0507625
208,1267,A,30,X,6,68,70,281.88,314.89,314.73,2.097,-0.206,65.0544
208,1267,A,30,X,6,72,74,281.92,314.93,314.77,2.081,-0.083,65.05925
208,1267,A,30,X,6,76,77,281.96,314.97,314.81,2.021,-0.271,65.0641
208,1267,A,30,X,6,79,80,281.99,315,314.84,2.137,-0.191,65.0677375
208,1267,A,30,X,6,82,83,282.02,315.03,314.87,2.146,-0.274,65.071375
208,1267,A,30,X,6,85,86,282.05,315.06,314.9,2.104,-0.237,65.0750125
208,1267,A,30,X,6,88,89.5,282.08,315.09,314.93,2.061,0.162,65.07865
