Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.66,mcd,65.0074,D.-T. et al. 2014,1.0146,-0.13,9.97,0.58
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.69,mcd,65.0149,D.-T. et al. 2014,1.0071,-0.405,11.2,1.8
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.75,mcd,65.03,D.-T. et al. 2014,0.992,-0.079,9.75,0.35
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.78,mcd,65.0366,D.-T. et al. 2014,0.9854,-0.251,10.51,1.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.81,mcd,65.0413,D.-T. et al. 2014,0.9807,-0.252,10.52,1.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.84,mcd,65.046,D.-T. et al. 2014,0.976,-0.288,10.68,1.28
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.87,mcd,65.0506,D.-T. et al. 2014,0.9714,-0.063,9.67,0.28
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.9,mcd,65.0553,D.-T. et al. 2014,0.9667,-0.147,10.05,0.65
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.93,mcd,65.06,D.-T. et al. 2014,0.962,-0.06,9.66,0.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,211.94,mcd,65.0616,D.-T. et al. 2014,0.9604,-0.164,10.13,0.73
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212,mcd,65.071,D.-T. et al. 2014,0.951,-0.274,10.61,1.22
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.03,mcd,65.0757,D.-T. et al. 2014,0.9463,-0.308,10.77,1.37
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.06,mcd,65.0804,D.-T. et al. 2014,0.9416,-0.352,10.96,1.57
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.09,mcd,65.0851,D.-T. et al. 2014,0.9369,-0.372,11.06,1.66
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.12,mcd,65.0898,D.-T. et al. 2014,0.9322,-0.299,10.73,1.33
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.15,mcd,65.0945,D.-T. et al. 2014,0.9275,-0.36,11,1.6
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.18,mcd,65.0991,D.-T. et al. 2014,0.9229,-0.273,10.61,1.21
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.21,mcd,65.1038,D.-T. et al. 2014,0.9182,-0.193,10.25,0.86
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.24,mcd,65.1085,D.-T. et al. 2014,0.9135,-0.216,10.36,0.96
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.27,mcd,65.1132,D.-T. et al. 2014,0.9088,-0.127,9.96,0.56
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.3,mcd,65.1179,D.-T. et al. 2014,0.9041,-0.467,11.48,2.08
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.33,mcd,65.1226,D.-T. et al. 2014,0.8994,-0.437,11.34,1.95
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.36,mcd,65.1273,D.-T. et al. 2014,0.8947,-0.478,11.53,2.13
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.39,mcd,65.132,D.-T. et al. 2014,0.89,-0.39,11.14,1.74
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.42,mcd,65.1362,D.-T. et al. 2014,0.8858,-0.394,11.15,1.76
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.45,mcd,65.1405,D.-T. et al. 2014,0.8815,-0.375,11.07,1.67
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.51,mcd,65.1489,D.-T. et al. 2014,0.8731,-0.433,11.32,1.93
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.54,mcd,65.1531,D.-T. et al. 2014,0.8689,-0.378,11.08,1.69
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.57,mcd,65.1574,D.-T. et al. 2014,0.8646,-0.314,10.79,1.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.6,mcd,65.1616,D.-T. et al. 2014,0.8604,-0.364,11.02,1.62
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.63,mcd,65.1658,D.-T. et al. 2014,0.8562,-0.474,11.51,2.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.66,mcd,65.17,D.-T. et al. 2014,0.852,-0.344,10.93,1.53
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.69,mcd,65.1743,D.-T. et al. 2014,0.8477,-0.315,10.8,1.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.72,mcd,65.1785,D.-T. et al. 2014,0.8435,-0.382,11.1,1.7
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.75,mcd,65.1827,D.-T. et al. 2014,0.8393,-0.462,11.46,2.06
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.78,mcd,65.187,D.-T. et al. 2014,0.835,-0.537,11.8,2.4
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.81,mcd,65.1912,D.-T. et al. 2014,0.8308,-0.528,11.75,2.36
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.84,mcd,65.1954,D.-T. et al. 2014,0.8266,-0.777,12.88,3.48
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.87,mcd,65.1996,D.-T. et al. 2014,0.8224,-0.545,11.83,2.44
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.91,mcd,65.2053,D.-T. et al. 2014,0.8167,-0.467,11.48,2.08
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,212.94,mcd,65.2095,D.-T. et al. 2014,0.8125,-0.428,11.31,1.91
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.09,mcd,65.241,D.-T. et al. 2014,0.781,-0.715,12.6,3.2
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.12,mcd,65.253,D.-T. et al. 2014,0.769,-0.694,12.5,3.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.15,mcd,65.265,D.-T. et al. 2014,0.757,-0.585,12.01,2.61
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.18,mcd,65.277,D.-T. et al. 2014,0.745,-0.554,11.87,2.48
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.21,mcd,65.289,D.-T. et al. 2014,0.733,-0.426,11.3,1.9
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.24,mcd,65.301,D.-T. et al. 2014,0.721,-0.499,11.63,2.23
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.27,mcd,65.313,D.-T. et al. 2014,0.709,-0.645,12.28,2.89
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.3,mcd,65.325,D.-T. et al. 2014,0.697,-0.602,12.09,2.69
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.36,mcd,65.3378,D.-T. et al. 2014,0.6843,-0.691,12.49,3.09
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.39,mcd,65.343,D.-T. et al. 2014,0.679,-0.436,11.34,1.94
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.42,mcd,65.3483,D.-T. et al. 2014,0.6738,-0.694,12.51,3.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.45,mcd,65.3535,D.-T. et al. 2014,0.6685,-0.588,12.03,2.63
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.48,mcd,65.3588,D.-T. et al. 2014,0.6633,-0.618,12.16,2.76
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.51,mcd,65.364,D.-T. et al. 2014,0.658,-0.915,13.51,4.11
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.54,mcd,65.3693,D.-T. et al. 2014,0.6528,-0.335,10.89,1.49
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.57,mcd,65.3745,D.-T. et al. 2014,0.6475,-0.356,10.98,1.59
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.6,mcd,65.3798,D.-T. et al. 2014,0.6423,-0.295,10.71,1.31
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.63,mcd,65.385,D.-T. et al. 2014,0.637,-0.354,10.97,1.58
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.67,mcd,65.392,D.-T. et al. 2014,0.63,-0.39,11.13,1.74
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.7,mcd,65.3973,D.-T. et al. 2014,0.6248,-0.485,11.56,2.17
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.73,mcd,65.4025,D.-T. et al. 2014,0.6195,-0.478,11.53,2.13
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.76,mcd,65.4078,D.-T. et al. 2014,0.6143,-0.429,11.31,1.91
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.79,mcd,65.413,D.-T. et al. 2014,0.609,-0.392,11.14,1.75
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.82,mcd,65.4183,D.-T. et al. 2014,0.6038,-0.541,11.81,2.42
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.85,mcd,65.4235,D.-T. et al. 2014,0.5985,-0.471,11.5,2.1
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.88,mcd,65.4288,D.-T. et al. 2014,0.5933,-0.455,11.43,2.03
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.91,mcd,65.434,D.-T. et al. 2014,0.588,-0.596,12.06,2.66
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.94,mcd,65.4401,D.-T. et al. 2014,0.5819,-0.361,11,1.61
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,213.97,mcd,65.4461,D.-T. et al. 2014,0.5759,-0.52,11.72,2.32
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214,mcd,65.4522,D.-T. et al. 2014,0.5698,-0.417,11.25,1.86
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,214.03,mcd,65.4583,D.-T. et al. 2014,0.5637,-0.348,10.95,1.55
