Type,Study,Site,Sample,Depth,Depth type,Age (Ma),Age Frame,"Age (Ma, relative to KPg)",Sample Type,Species,d18O,Temperature (C),Delta_Temperature
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,K-Pg boundary,407.31,mbsf,66.04,GTS 2012,0,Age Tie Point,,,,
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-1,13-15",407.44,mbsf,66.0472,GTS 2012,-0.0072,Benthic,Gavelinella sp.,0.05,10.06,0
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-1,30-32",407.61,mbsf,66.0565,GTS 2012,-0.0165,Benthic,Gavelinella sp.,0.01,10.25,0.19
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-1,50-52",407.81,mbsf,66.0676,GTS 2012,-0.0276,Benthic,Gavelinella sp.,-0.22,11.27,1.22
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-1,105-107",408.35,mbsf,66.0974,GTS 2012,-0.0574,Benthic,Gavelinella sp.,-0.66,13.21,3.16
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-1,118-120",408.48,mbsf,66.1045,GTS 2012,-0.0645,Benthic,Gavelinella sp.,-0.27,11.47,1.42
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-1,139-141",408.69,mbsf,66.1161,GTS 2012,-0.0761,Benthic,Gavelinella sp.,-0.24,11.35,1.3
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-2,52-54",409.32,mbsf,66.1509,GTS 2012,-0.1109,Benthic,Gavelinella sp.,-0.68,13.3,3.25
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-2,100-102",409.8,mbsf,66.1774,GTS 2012,-0.1374,Benthic,Gavelinella sp.,-0.55,12.75,2.69
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-3,100-102",411.3,mbsf,66.2601,GTS 2012,-0.2201,Benthic,Gavelinella sp.,-0.3,11.63,1.58
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-4,100-102",412.8,mbsf,66.3428,GTS 2012,-0.3028,Benthic,Gavelinella sp.,0.05,10.06,0
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-32-5,100-102",414.3,mbsf,66.4256,GTS 2012,-0.3856,Benthic,Gavelinella sp.,0.11,9.78,-0.27
d18O_foram,D'Hondt and Lindiger (1994),DSDP 528,"74-528-33-1,98-100",417.49,mbsf,66.6015,GTS 2012,-0.5615,Benthic,Gavelinella sp.,0.14,9.68,-0.38
