Type,Study,Age (Ma),Age Frame,"Age (Ma, relative to K-Pg)",Sample Type,"Temp (mean, calc. via Kim and O'Neil)",Temp (2sd within timebin),?Temperature
d18O_shell,Tobin et al. (2012),68.5496,GTS 2012,-2.5096,Bivalve,7.59,1.73,-1.11
d18O_shell,Tobin et al. (2012),68.0675,GTS 2012,-2.0275,Bivalve,7.37,1.96,-1.34
d18O_shell,Tobin et al. (2012),67.8654,GTS 2012,-1.8254,Bivalve,6.3,0.6,-2.4
d18O_shell,Tobin et al. (2012),67.8265,GTS 2012,-1.7865,Bivalve,9.28,0.08,0.58
d18O_shell,Tobin et al. (2012),67.3722,GTS 2012,-1.3322,Bivalve,10.42,2.17,1.72
d18O_shell,Tobin et al. (2012),67.2361,GTS 2012,-1.1961,Bivalve,6.68,NA (too few in timebin),-2.03
d18O_shell,Tobin et al. (2012),67.1127,GTS 2012,-1.0727,Bivalve,7.43,4.08,-1.28
d18O_shell,Tobin et al. (2012),66.4527,GTS 2012,-0.4127,Bivalve,7.94,5.11,-0.76
d18O_shell,Tobin et al. (2012),66.2665,GTS 2012,-0.2265,Bivalve,9.68,4.23,0.98
d18O_shell,Tobin et al. (2012),66.2004,GTS 2012,-0.1604,Bivalve,8.88,7.93,0.18
d18O_shell,Tobin et al. (2012),66.0534,GTS 2012,-0.0134,Bivalve,8.7,2.12,0
d18O_shell,Tobin et al. (2012),65.9621,GTS 2012,0.0779,Bivalve,8.58,0.78,-0.13
d18O_shell,Tobin et al. (2012),65.899,GTS 2012,0.141,Bivalve,14.43,7.3,5.72
d18O_shell,Tobin et al. (2012),65.8459,GTS 2012,0.1941,Bivalve,10.79,NA (too few in timebin),2.08
d18O_shell,Tobin et al. (2012),65.7834,GTS 2012,0.2566,Bivalve,10.45,1.94,1.75
d18O_shell,Tobin et al. (2012),65.7208,GTS 2012,0.3192,Bivalve,7.16,2.02,-1.54
d18O_shell,Tobin et al. (2012),65.6683,GTS 2012,0.3717,Bivalve,5.94,NA (too few in timebin),-2.76
d18O_shell,Tobin et al. (2012),68.5496,GTS 2012,-2.5096,Gastropod,5.48,0.2,-4.5
d18O_shell,Tobin et al. (2012),68.4278,GTS 2012,-2.3878,Gastropod,4.59,0.95,-5.39
d18O_shell,Tobin et al. (2012),68.379,GTS 2012,-2.339,Gastropod,5.59,0.56,-4.38
d18O_shell,Tobin et al. (2012),67.8183,GTS 2012,-1.7783,Gastropod,4.08,1.16,-5.89
d18O_shell,Tobin et al. (2012),67.6462,GTS 2012,-1.6062,Gastropod,9.23,7.77,-0.74
d18O_shell,Tobin et al. (2012),67.3187,GTS 2012,-1.2787,Gastropod,9.29,2.57,-0.68
d18O_shell,Tobin et al. (2012),66.9931,GTS 2012,-0.9531,Gastropod,7.22,2.82,-2.75
d18O_shell,Tobin et al. (2012),66.8561,GTS 2012,-0.8161,Gastropod,7.23,1.29,-2.74
d18O_shell,Tobin et al. (2012),66.8405,GTS 2012,-0.8005,Gastropod,9.38,5.34,-0.6
d18O_shell,Tobin et al. (2012),66.7336,GTS 2012,-0.6936,Gastropod,7.65,5.28,-2.33
d18O_shell,Tobin et al. (2012),66.6306,GTS 2012,-0.5906,Gastropod,7.17,0.22,-2.81
d18O_shell,Tobin et al. (2012),66.5334,GTS 2012,-0.4934,Gastropod,7.79,3.98,-2.19
d18O_shell,Tobin et al. (2012),66.4527,GTS 2012,-0.4127,Gastropod,7.62,1.59,-2.36
d18O_shell,Tobin et al. (2012),66.4187,GTS 2012,-0.3787,Gastropod,7.87,0.57,-2.11
d18O_shell,Tobin et al. (2012),66.3685,GTS 2012,-0.3285,Gastropod,7.4,5.01,-2.57
d18O_shell,Tobin et al. (2012),66.3345,GTS 2012,-0.2945,Gastropod,8.22,3.46,-1.76
d18O_shell,Tobin et al. (2012),66.2665,GTS 2012,-0.2265,Gastropod,6.5,1.14,-3.48
d18O_shell,Tobin et al. (2012),66.2373,GTS 2012,-0.1973,Gastropod,7.61,1.88,-2.36
d18O_shell,Tobin et al. (2012),66.1571,GTS 2012,-0.1171,Gastropod,12.42,3.62,2.45
d18O_shell,Tobin et al. (2012),66.0359,GTS 2012,0.0041,Gastropod,9.98,1.31,0
d18O_shell,Tobin et al. (2012),65.7208,GTS 2012,0.3192,Gastropod,8.68,0.98,-1.29
