Sample,Biozone,Composite
"El Kef 1A 14R, 38-42cm",P1a,58.61
"El Kef 1A 14R, 49-53cm",P alpha,58.72
"El Kef 1A 14R, 72-77cm",P alpha,58.95
"El Kef 1A 15R, 1-4cm",P alpha,59.16
"El Kef 1A 15R, 20-24cm",P alpha,59.36
"El Kef 1A 15R, 50-54cm",P alpha,59.66
"El Kef 1A 15R, 65-69cm",P alpha,59.81
"El Kef 1A 15R, 74-78cm",P alpha,59.9
"El Kef 1A 15R, 88-92cm",P alpha,60.04
"El Kef 1A 15R, 102-106cm",P alpha,60.18
"El Kef 1A 15R, 110-113cm",P alpha,60.26
"El Kef 1A 16R, 1-2cm",P alpha,60.43
"El Kef 1A 16R, 2-3cm",P alpha,60.44
"El Kef 1A 16R, 4-5cm",P alpha,60.46
"El Kef 1A 16R, 5-6cm",P alpha,60.47
"El Kef 1A 16R, 7-8cm",P alpha,60.49
"El Kef 1A 16R, 8-9cm",P alpha,60.5
"El Kef 1A 16R, 10-11cm",P alpha,60.52
"El Kef 1A 16R, 11-12cm",P alpha,60.53
"El Kef 1A 16R, 13-14cm",P alpha,60.55
"El Kef 1A 16R, 14-14cm",P alpha,60.56
"El Kef 1A 16R, 20-21cm",P alpha,60.62
"El Kef 1A 16R, 21-22cm",P alpha,60.63
"El Kef 1A 16R, 23-24cm",P alpha,60.65
"El Kef 1A 16R, 24-25cm",P alpha,60.66
"El Kef 1A 16R, 28-29cm",P alpha,60.7
"El Kef 1A 16R, 29-30cm",P alpha,60.71
"El Kef 1A 16R, 31-32cm",P alpha,60.73
"El Kef 1A 16R, 33-34cm",P alpha,60.75
"El Kef 1A 16R, 36-37cm",P alpha,60.78
"El Kef 1A 16R, 37-38m",P alpha,60.79
"El Kef 1A 16R, 40-41cm",P alpha,60.82
"El Kef 1A 16R, 41-42cm",P0,60.83
"El Kef 1A 16R, 43-44cm",P0,60.85
"El Kef 1A 16R, 45-46cm",P0,60.87
"El Kef 1A 16R, 50-51cm",P0,60.92
"El Kef 1A 16R, 61-62cm",P0,61.03
"El Kef 1A 16R, 70-71cm",P0,61.12
"El Kef 1A 16R, 80-81cm",P0,61.22
"El Kef 1A 16R, 91-92cm",P0,61.33
"El Kef 1A 16R, 99-100cm",P0,61.41
"El Kef 1A 16R, 103-106cm",P. hantkeninoides,61.43
"El Kef 1A 16R, 105-106cm",P. hantkeninoides,61.46
"El Kef 1A 16R, 108-109cm",P. hantkeninoides,61.47
"El Kef 1A 16R, 109-110cm",P. hantkeninoides,60.49
"El Kef 1A 16R, 111-112cm",P. hantkeninoides,61.53
"El Kef 1A 16R, 115-116cm",P. hantkeninoides,61.55
"El Kef 1A 16R, 117-118cm",P. hantkeninoides,61.58
"El Kef 1A 16R, 120-121cm",P. hantkeninoides,61.65
"El Kef 1A 16R, 127-128cm",P. hantkeninoides,61.69
"El Kef 1A 16R, 131-132cm",P. hantkeninoides,61.74
"El Kef 1A 16R, 136-137cm",P. hantkeninoides,61.78
"El Kef 1A 16R, 140-141cm",P. hantkeninoides,61.84
"El Kef 1A 16R, 146-147cm",P. hantkeninoides,61.92
"El Kef 1A 17R, 49-52cm",P. hantkeninoides,62.45
"El Kef 1A 17R, 80.5-83.5cm",P. hantkeninoides,62.715
"El Kef 1A 17R, 115-118cm",P. hantkeninoides,63.06
"El Kef 1A 17R, 143.5-145.5cm",P. hantkeninoides,63.345
