Corral Bluffs palynological relative abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollen sample,ADB1703-01,ADB1703-02,ADB1703-03,ADB1802-02,ADB1703-04,ADB1802-03,ADB1802-04,ADB1703-04c,ADB1703-04b,ADB1802-05,ADB1802-06,ADB1701-00,ADB1701-0a,ADB1703-04d,ADB1703-04e,ADB1701-01,ADB1802-07,ADB1701-02,ADB1701-03,ADB1802-09,ADB1703-05,ADB1802-08,ADB1801-04,ADB1802-10,ADB1701-05b,ADB1701-05a,ADB1801-05,ADB1701-06,ADB1701-07,ADB1702-01,ADB1801-07,ADB1802-11,ADB1702-02,ADB1703-06,ADB1801-08,ADB1701-08,ADB1802-12,ADB1701-09,ADB1701-10,ADB1802-13,ADB1701-13,ADB1702-03,ADB1701-15,ADB1701-16,ADB1701-18,ADB1701-19,ADB1701-20,ADB1701-21,ADB1701-23,ADB1701-28,ADB1701-29,ADB1701-30,ADB1701-31,ADB1804-02,ADB1804-03,ADB1804-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratigraphic position (m),-70.33,-68.84,-28.79,-14.67,-12.00,-9.24,-7.94,-6.88,-6.63,-5.15,-5.10,-3.79,-1.96,-1.65,1.65,1.96,7.09,10.74,11.16,11.54,11.86,11.87,17.02,19.35,23.09,24.26,24.45,31.83,32.93,34.00,35.28,36.09,39.50,40.80,42.58,46.24,48.17,48.85,51.70,53.31,59.75,62.00,63.61,64.57,72.26,78.62,83.57,86.37,93.61,113.17,118.37,123.02,127.10,135.68,150.78,168.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age model GPTS 2012 (Ma),66.445,66.438,66.257,66.152,66.131,66.110,66.100,66.092,66.090,66.079,66.079,66.069,66.055,66.053,66.030,66.029,65.999,65.977,65.975,65.973,65.971,65.971,65.941,65.927,65.905,65.898,65.897,65.854,65.848,65.842,65.834,65.829,65.810,65.802,65.792,65.770,65.759,65.755,65.738,65.729,65.691,65.676,65.665,65.659,65.606,65.562,65.528,65.508,65.459,65.324,65.288,65.256,65.228,65.169,65.065,64.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K–Pg relative GPTS 2012 (Ma),-0.405,-0.398,-0.217,-0.112,-0.091,-0.070,-0.060,-0.052,-0.050,-0.039,-0.039,-0.029,-0.015,-0.013,0.010,0.011,0.041,0.063,0.065,0.067,0.069,0.069,0.099,0.113,0.135,0.142,0.143,0.186,0.192,0.198,0.206,0.211,0.230,0.238,0.248,0.270,0.281,0.285,0.302,0.311,0.349,0.364,0.375,0.381,0.434,0.478,0.512,0.532,0.581,0.716,0.752,0.784,0.812,0.871,0.975,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age model Clyde et al. 2016 (Ma),66.495,66.487,66.258,66.143,66.120,66.098,66.087,66.078,66.076,66.064,66.063,66.052,66.037,66.035,66.015,66.014,65.996,65.983,65.981,65.980,65.979,65.978,65.960,65.952,65.938,65.934,65.933,65.907,65.903,65.899,65.895,65.892,65.879,65.875,65.868,65.855,65.848,65.846,65.836,65.830,65.807,65.789,65.775,65.767,65.700,65.646,65.603,65.579,65.517,65.348,65.303,65.263,65.228,65.154,65.024,64.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K–Pg relative Clyde et al. 2016 (Ma),-0.474,-0.466,-0.237,-0.122,-0.099,-0.077,-0.066,-0.057,-0.055,-0.043,-0.042,-0.031,-0.016,-0.014,0.006,0.007,0.025,0.038,0.040,0.041,0.042,0.043,0.061,0.069,0.083,0.087,0.088,0.114,0.118,0.122,0.126,0.129,0.142,0.146,0.153,0.166,0.173,0.175,0.185,0.191,0.214,0.232,0.246,0.254,0.321,0.375,0.418,0.442,0.504,0.673,0.718,0.758,0.793,0.867,0.997,1.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Aquilapollenites calvus,1,6,,3,1,4,,,1,3,,,,6,,,,2,10,1,,,2,4,2,2,,1,3,2,1,,,,3,2,,,3,4,2,,,2,5,,,,,,1,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Aquilapollenites collaris,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Aquilapollenites conatus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
