DMNH locality,meter,Age,Age_from_KPg,Chron,NALMA,Taxon,Amniote classification,Element,Lithology,Depositional environment,Concretion
DMNH 8346,168.61,64.942,1.098,28R,Puercan 3,Baenid?,Testudines,skull and postcranial elements,Mudstone,Overbank/Floodplain,No
DMNH 3871,154.59,65.039,1.001,29N,Puercan 3,Testudines,Testudines,shell fragments,,,No
DMNH 3884,152.26,65.055,0.985,29N,Puercan 3,Testudines,Testudines,shell fragments,,,No
DMNH 3246,151.68,65.059,0.981,29N,Puercan 3,Testudines,Testudines,shell fragments,,,No
DMNH 3881,142.4,65.123,0.917,29N,Puercan 3,Testudines,Testudines,shell fragments,Mudstone,Overbank/Floodplain,No
DMNH 2552,141.53,65.128,0.912,29N,Puercan 3,Mammalia,Mammalia,right dentary with abraded p/4?,Sandstone,River channel ,No
DMNH 3894,141.11,65.131,0.909,29N,Puercan 3,Neurankylus,Testudines,shell fragments,Mudstone,Overbank/Floodplain,No
DMNH 3863,133.2,65.186,0.854,29N,Puercan 3,Testudines,Testudines,shell fragments,Sandstone,River channel ,No
DMNH 3945,132.68,65.189,0.851,29N,Puercan 3,Ectoconus,Mammalia,L m/1 or m/2 (probably m/2),Mudstone,Overbank/Floodplain,No
DMNH 2553,130.7,65.203,0.837,29N,Puercan 3,Testudines,Testudines,shell,Mudstone,Overbank/Floodplain,No
UCM 83196,127.2,65.227,0.813,29N,Puercan 3,Compsemys,Testudines,skull,Sandstone,River channel ,No
DMNH 2554,121.22,65.268,0.772,29N,Puercan 3,Ectoconus,Mammalia,right dentary with m/3,Sandstone,River channel ,No
DMNH 5370,120.78,65.271,0.769,29N,Puercan 3,Carsioptychus ,Mammalia,"Palate R P4/-M3/, L P3/-M2/ (P3/, M1/, M2/ broken), L dent M/1-M/3 (M/3 talonid broken)",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8323,120.7,65.272,0.768,29N,Puercan 3,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8341,120.41,65.274,0.766,29N,Puercan 3,Carsioptychus ,Mammalia,"R max. w/ P4, M1",,,No
DMNH 7063,119.9,65.277,0.763,29N,Puercan 3,Ectoconus,Mammalia,"Partial cranium L M1/(broken)-M3/, R P2/-M1/",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6505,118.84,65.285,0.755,29N,Puercan 3,Hoplochelys,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3883,118.17,65.289,0.751,29N,Puercan 3,Hoplochelys,Testudines,shell,Mudstone,Overbank/Floodplain,No
DMNH 6506,117.79,65.292,0.748,29N,Puercan 3,Ectoconus,Mammalia,L dentary w/ p3-4 m1-2,Sandstone,River channel ,No
DMNH 3901,117.41,65.295,0.745,29N,Puercan 3,Mammalia,Mammalia,postcrania elements,Mudstone,Overbank/Floodplain,No
DMNH 6504,117.35,65.295,0.745,29N,Puercan 3,Periptychidae?,Mammalia,partial dentary in matrix,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7084,117.24,65.296,0.744,29N,Puercan 3,Mammalia,Mammalia,vertebrae,Mudstone,Overbank/Floodplain,No
DMNH 7073,116.51,65.301,0.739,29N,Puercan 3,Hoplochelys,Testudines,shell,Mudstone,Overbank/Floodplain,No
DMNH 3880,115.15,65.31,0.73,29N,Puercan 3,Testudines,Testudines,shell fragments,,,No
DMNH 7064,115.13,65.31,0.73,29N,Puercan 3,Taeniolabis,Mammalia,L dentary,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3876,115.09,65.311,0.729,29N,Puercan 3,Axestemys,Testudines,shell fragments,,,No
UCM 77277,114.93,65.312,0.728,29N,Puercan 3,Baenid,Testudines,skull,Sandstone,River channel ,No
DMNH 8324,114.42,65.315,0.725,29N,Puercan 3,Vert. indet.,,,Sandstone,River channel ,Phosphatic
DMNH 3893,114.07,65.318,0.722,29N,Puercan 3,Vert. indet.,,,Mudstone,Overbank/Floodplain,No
DMNH 8368,113.63,65.321,0.719,29N,Puercan 3,Ectoconus,Mammalia,"Juvenile cranium with R & L dP3/, dP4/, M1/, M2/",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6500,113.42,65.322,0.718,29N,Puercan 3,Taeniolabis,Mammalia,"skull, in situ ",Sandstone,River channel ,Phosphatic
DMNH 2544/UCM 77275,113.03,65.325,0.715,29N,Puercan 2,Microsite,Mammalia,"vertebra, shell fragments",Sandstone,River channel ,No
DMNH 4067,113.02,65.325,0.715,29N,Puercan 2,Crocodilian,Crocodilian,dentary element,,,No
DMNH 8356,111.5,65.335,0.705,29N,Puercan 2,Crocodilian,Crocodilian,osteoderms,Mudstone,Overbank/Floodplain,No
DMNH 3872,111.45,65.336,0.704,29N,Puercan 2,Axestemys,Testudines,shell fragment,,,No
DMNH 8732,111.42,65.336,0.704,29N,Puercan 2,Ectoconus,Mammalia,R dentary with m1-2,Mudstone,Overbank/Floodplain,No
DMNH 8310,111.36,65.336,0.704,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7382,111.24,65.337,0.703,29N,Puercan 2,Hoplochelys,Testudines,shell,Sandstone,River channel ,Phosphatic
DMNH 8357,111.11,65.338,0.702,29N,Puercan 2,Testudines,Testudines,costal,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3904,110.97,65.339,0.701,29N,Puercan 2,Axestemys,Testudines,cranial element,,,No
DMNH 6507,110.89,65.34,0.7,29N,Puercan 2,Hoplochelys,Testudines,shell,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6509,110.54,65.342,0.698,29N,Puercan 2,Baenid turtle,Testudines,shell,Sandstone,River channel ,Phosphatic
DMNH 3900,110.24,65.344,0.696,29N,Puercan 2,Testudines,Testudines,shell fragments,,,No
DMNH 8355,109.57,65.349,0.691,29N,Puercan 2,Baenid,Testudines,skeleton mostly eroded away with shell impression,Sandstone,River channel ,Carbonate
DMNH 8370,109.55,65.349,0.691,29N,Puercan 2,Carsioptychus ,Mammalia,L max P2/-M1/,Sandstone,River channel ,No
DMNH 8308,109.45,65.349,0.691,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 8363,109.39,65.35,0.69,29N,Puercan 2,Crocodilian,Crocodilian,cranial elements,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3897,109.04,65.352,0.688,29N,Puercan 2,Crocodilian,Crocodilian,osteoderms,,,No
DMNH 6269,108.98,65.353,0.687,29N,Puercan 2,Vert. indet.,,,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 6267,108.85,65.354,0.686,29N,Puercan 2,Carsioptychus ,Mammalia,"dentary, cranial?",Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7326,108.67,65.355,0.685,29N,Puercan 2,Carsioptychus ,Mammalia,partial skull,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 7327,108.67,65.355,0.685,29N,Puercan 2,Testudines?,Testudines,shell?,"Laminated, fine grained",Pond,Phosphatic
DMNH 8307,108.65,65.355,0.685,29N,Puercan 2,Carsioptychus ,Mammalia,cranial fragments,Mudstone,Overbank/Floodplain,Phosphatic
DMNH 3878,108.62,65.355,0.685,29N,Puercan 2,Neurankylus,Testudines,"dentary, shell fragments",Sandstone,River channel ,No
DMNH 3879,108.39,65.357,0.683,29N,Puercan 2,fossil?,,,,,No
DMNH 8306,108.32,65.357,0.683,29N,Puercan 2,Neurankylus,Testudines,peripheral bones,Sandstone,River channel ,No
DMNH 8305,108.04,65.359,0.681,29N,Puercan 2,Microsite with Carsioptychus ,Mammalia,"L max P3/-M3/ alveoli and M1/ abraded crown, R M1/ or M2/ probably M2/, shell fragments",Sandstone,River channel ,No
