Analysis,Time,Date,ID,meter,Section,meter,details,Code,Location,notes,d 13C/12C  VPDB ,d 18O/16O  VPDB ,lat,lng
10726,21:43:04,1/29/2026,CP1_0.1,0.1,CP1,0.1,,CP1-n-0.1,"Cotton Plant, Site 1",(below 0 marker at K-Pg),0.82,-2.08,34.6,-89
10687,23:33:02,1/27/2026,CP1_0A,0,CP1,0,A,CP1-0A,"Cotton Plant, Site 1",,0.78,-1.88,34.6,-89
10734,1:55:57,1/30/2026,CP1_0B,0,CP1,0,B,CP1-0B,"Cotton Plant, Site 1",,0.43,-1.88,34.6,-89
10736,3:02:01,1/30/2026,CP1_M0.05,-0.05,CP1,-0.05,,CP1-n-0.05,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.38,-1.62,34.6,-89
10722,19:33:24,1/29/2026,CP1_M0.1,-0.1,CP1,-0.1,,CP1-n-0.1,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.19,-1.73,34.6,-89
10677,19:14:35,1/27/2026,CP1_M0.2,-0.2,CP1,-0.2,,CP1-n-0.2,"Cotton Plant, Site 1",(below 0 marker at K-Pg),0.99,-1.58,34.6,-89
10689,0:21:15,1/28/2026,CP1_M0.3,-0.3,CP1,-0.3,,CP1-n-0.3,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.05,-1.56,34.6,-89
10679,20:08:11,1/27/2026,CP1_M0.4,-0.4,CP1,-0.4,,CP1-n-0.4,"Cotton Plant, Site 1",(below 0 marker at K-Pg),0.96,-1.63,34.6,-89
10685,22:43:15,1/27/2026,CP1_M0.5,-0.5,CP1,-0.5,,CP1-n-0.5,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.13,-1.68,34.6,-89
10675,18:21:20,1/27/2026,CP1_M0.6,-0.6,CP1,-0.6,,CP1-n-0.6,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.08,-1.62,34.6,-89
10724,20:38:32,1/29/2026,CP1_M0.7,-0.7,CP1,-0.7,,CP1-n-0.7,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.44,-1.66,34.6,-89
10681,21:01:08,1/27/2026,CP1_M0.8,-0.8,CP1,-0.8,,CP1-n-0.8,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.01,-1.56,34.6,-89
10732,0:50:58,1/30/2026,CP1_M0.9,-0.9,CP1,-0.9,,CP1-n-0.9,"Cotton Plant, Site 1",(below 0 marker at K-Pg),0.67,-1.78,34.6,-89
10756,14:29:53,1/30/2026,CP1-0.2,0.2,CP1,0.2,,CP1-0.2,"Cotton Plant, Site 1",(below 0 marker at K-Pg),1.38,-1.61,34.6,-89
10693,2:20:40,1/28/2026,CP2_0.1,0.1,CP2,0.1,,CP2-0.1,"Cotton Plant, Site 2",,-0.71,-2.18,34.6,-89
10695,3:09:01,1/28/2026,CP2_0.2,0.2,CP2,0.2,,CP2-0.2,"Cotton Plant, Site 2",,1.01,-1.77,34.6,-89
10697,4:02:49,1/28/2026,CP2_0.3,0.3,CP2,0.3,,CP2-0.3,"Cotton Plant, Site 2",,0.7,-1.97,34.6,-89
10742,6:09:50,1/30/2026,CP2_0.55,0.55,CP2,0.55,,CP2-0.55,"Cotton Plant, Site 2",,1.02,-1.74,34.6,-89
10740,5:15:19,1/30/2026,CP2_0.7,0.7,CP2,0.7,,CP2-0.7,"Cotton Plant, Site 2",,-2.79,-1.97,34.6,-89
10692,1:48:04,1/28/2026,CP2_0.9,0.9,CP2,0.9,,CP2-0.9,"Cotton Plant, Site 2",,-0.22,-0.96,34.6,-89
10744,7:21:27,1/30/2026,CP2_1.2,1.2,CP2,1.2,,CP2-1.2,"Cotton Plant, Site 2",,-0.46,-1.11,34.6,-89
10797,17:07:32,2/1/2026,CP2-0.9,0.9,CP2,0.9,,CP2-0.9,"Cotton Plant, Site 2",,-0.36,-1.08,34.6,-89
10739,4:35:23,1/30/2026,PG_0.05,0.05,PG,0.05,,PG-0.05,"Trim Cane Creek, Prefault Section: Ghost Unit",,0.72,-1.69,33.4,-88.9
10759,16:17:31,1/30/2026,PG_0.1,0.1,PG,-0.1,,PG--0.1,"Trim Cane Creek, Prefault Section: Ghost Unit",might be pos or neg,0.48,-1.23,33.4,-88.9
10772,0:13:45,1/31/2026,PG_0.1,0.1,PG,-0.1,,PG--0.1,"Trim Cane Creek, Prefault Section: Ghost Unit",might be pos or neg,0.83,-1.88,33.4,-88.9
10764,19:19:32,1/30/2026,PG_0.15,0.15,PG,0.15,,PG-0.15,"Trim Cane Creek, Prefault Section: Ghost Unit",,0.44,-1.42,33.4,-88.9
10767,21:11:35,1/30/2026,PG_0.2,0.2,PG,0.2,,PG-0.2,"Trim Cane Creek, Prefault Section: Ghost Unit",,0.58,-1.39,33.4,-88.9
10733,1:24:25,1/30/2026,PG_0.25,0.25,PG,0.25,,PG-0.25,"Trim Cane Creek, Prefault Section: Ghost Unit",,0.28,-1.33,33.4,-88.9
10777,3:05:43,1/31/2026,PG_0.3,0.3,PG,0.3,,PG-0.3,"Trim Cane Creek, Prefault Section: Ghost Unit",,0.6,-1.58,33.4,-88.9
