Ref,Sample,meter,Fm/Unit,TOC,d13C_TOC_VPDB,d13C_VPDB,d18O_VPDB,Biozone
16,TCC-15,2.45,Cy Fm.,0.27,-26.5,-0.47,-2.08,
15,TCC-14,2.05,Cy Fm.,0.21,-26.1,0.32,-1.83,
14,TCC-13,1.65,Cy Fm.,0.22,-25.8,0.45,-1.98,
13,TCC-12,1.3,BU,0.13,-24.8,-0.54,-2.33,
12,TCC-11,1.05,BU,0.13,-25,0.62,-1.14,
11,TCC-10,0.8,BU,0.12,-25.1,0.94,-1.35,
10,TCC-9,0.65,BU,0.08,-24.6,0.65,-1.07,
9,TCC-8C,0.52,BU,0.16,-24.9,0.92,-0.52,
8,TCC-8B,0.4,BU,0.1,-25.3,0.15,-0.9,
7,TCC-8A,0.37,BU,0.12,-25.2,0,-1.44,
6,TCC-6,0.25, Spherule bed 2  ,0.01,-28,0,-1.75,
5,TCC-5,0.2,Indurraled bed ,0.12,-25.5,0.16,-1.51,
4,TCC-4,0.05,Spherule bed 1  ,0.03,-25.7,0.35,-2.65,
3,TCC-3,-0.1,PBC Fm.,0.38,-25.7,0.57,-1.71,
2,TCC-2,-0.3,PBC Fm.,0.76,-25.3,0.88,-2.32,
1,TCC-1,-0.7,PBC Fm.,0.45,-25.3,1.08,-2.14,
