Sample,Formation,Sed Rate,Biozone,meter
TCC-32A,CLAYTON,0.04,P1c,3
TCC-31A,CLAYTON,0.04,P1c,2.9
TCC-30A,CLAYTON,0.04,P1c,2.8
TCC-29A,CLAYTON,0.04,P1c,2.7
TCC-28A,CLAYTON,0.04,P1b,2.6
TCC-27A,CLAYTON,0.04,P1b,2.5
TCC-15,CLAYTON,0.04,P1b,2.45
TCC-26A,CLAYTON,0.04,P1b,2.4
TCC-25A,CLAYTON,0.04,P1b,2.3
TCC-24A,CLAYTON,0.04,P1b,2.2
TCC-23A,CLAYTON,0.1,P1a,2.1
TCC-14,CLAYTON,0.1,P1a,2.05
TCC-22A,CLAYTON,0.1,P1a,2
TCC-21A,CLAYTON,0.1,P1a,1.9
SA-11,CLAYTON,0.1,P1a,1.85
TCC-20A,CLAYTON,0.1,P1a,1.8
TCC-19A,CLAYTON,0.1,P1a,1.7
TCC-13,CLAYTON,0.1,P1a,1.65
TCC-18A,Burrowed Unit B,0.3,P-alpha,1.45
TCC-17A,Burrowed Unit B,0.3,P-alpha,1.35
TCC-16A,Burrowed Unit B,0.3,P-alpha,1.3
TCC-12,Burrowed Unit B,0.3,P-alpha,1.3
TCC-15A,Burrowed Unit B,0.3,P-alpha,1.25
TCC-14A,Burrowed Unit B,0.3,P-alpha,1.2
TCC-13A,Burrowed Unit B,0.3,P-alpha,1.15
TCC-12A,Burrowed Unit B,0.3,P-alpha,1.1
TCC-11,Burrowed Unit B,0.3,P-alpha,1.05
TCC-11A,Burrowed Unit B,0.3,P-alpha,1.05
TCC-10A,Burrowed Unit B,0.3,P-alpha,1
TCC-9A,Burrowed Unit B,0.3,P-alpha,0.95
TCC-8A-prev,Burrowed Unit A,0.3,P-alpha,0.9
TCC-7A,Burrowed Unit A,0.3,P-alpha,0.85
TCC-10,Burrowed Unit A,0.3,P-alpha,0.8
TCC-6A,Burrowed Unit A,0.3,P-alpha,0.7
TCC-9,Burrowed Unit A,1,P0,0.65
TCC-5A,Burrowed Unit A,1,P0,0.6
TCC-4A,Burrowed Unit A,1,P0,0.55
TCC-8C,Burrowed Unit A,1,P0,0.52
TCC-3A,Burrowed Unit A,1,P0,0.45
TCC-8B,Burrowed Unit A,1,P0,0.4
TCC-8A,Burrowed Unit A,1,P0,0.37
TCC-2A,Burrowed Unit A,1,P0,0.35
TCC-6 SB-2 bis,"SPHERULED BED
Ejecta layer",0,KPgB,0.3
TCC-6,"SPHERULED BED
Ejecta layer",0,KPgB,0.25
TCC-5,"SPHERULED BED
Ejecta layer",0,KPgB,0.2
TCC-4 SB-1 bis,"SPHERULED BED
Ejecta layer",0,KPgB,0.1
TCC-4,"SPHERULED BED
Ejecta layer",0,KPgB,0.05
TCC-1A,Prairie Bluff Chalk,2.8,D. iris/CC26b,-0.06
TCC-3,Prairie Bluff Chalk,2.8,D. iris/CC26b,-0.1
TCC-2,Prairie Bluff Chalk,2.8,D. iris/CC26b,-0.3
TCC-1,Prairie Bluff Chalk,2.8,D. iris/CC26b,-0.7
SA-10,Prairie Bluff Chalk,2.8,D. iris/CC26b,-0.76
SA-9,Prairie Bluff Chalk,2.8,D. iris/CC26b,-0.9
SA-8,Prairie Bluff Chalk,2.8,D. iris/CC26b,-1.1
SA-7,Prairie Bluff Chalk,2.8,D. iris/CC26b,-1.3
SA-6,Prairie Bluff Chalk,2.8,D. iris/CC26b,-1.7
SA-5,Prairie Bluff Chalk,2.8,D. iris/CC26b,-1.9
SA-4,Prairie Bluff Chalk,2.8,D. iris/CC26b,-2.1
SA-3,Prairie Bluff Chalk,2.8,D. iris/CC26b,-2.3
SA-2,Prairie Bluff Chalk,2.8,D. iris/CC26b,-2.5
SA-1,Prairie Bluff Chalk,2.8,D. iris/CC26b,-2.7
