Sample,meter,d13C,d18O_VSMOW,ARF D47,se,T(Zaarur),95 percent confidence (from Graph),95 percent confidence (sample),d18Ow,d18Ow err,Eagle2013Ara,Eagle2013Bio,Henkes2013T
Louisiana (Modern),0,-8.63,-5.19,0.695,0.005,26.7,2.5,2.6,-3.2,0.4,28.8,15.3,25.7
Site P,-66,-4.89,-17.4,0.695,0.002,26.7,1.5,1.2,-15.5,0.3,28.8,15.3,25.7
Site O (gastro),-20.5,-2.33,-11.31,0.679,0.014,30.8,7.5,7.3,-8.6,0.8,34.6,18.9,32.8
Site T (bivalve),0,-5.86,-9.91,0.715,0.003,22,2,1.6,-8.9,0.4,22.1,11.1,17.7
Site T (gastro),54,-7.4,-13.3,0.681,0.004,30.1,2,2,-10.7,0.4,33.4,18.3,31.3
Site M,-66,-6.43,-9.69,0.698,0.008,25.9,4,3.7,-7.9,0.6,27.7,14.7,24.5
Site K,-26,-5.01,-8.94,0.68,0.007,30.5,3.5,3.5,-6.3,0.5,34.1,18.7,32.3
Site H,34,-4.92,-10.61,0.689,0.004,28.3,2,1.9,-8.4,0.4,31,16.7,28.4
Site R,-25,-7,-9.5,0.68,0,30.4,1.5,0.2,-6.8,0.7,33.9,18.6,31.9
Vein,-15,-10.06,-14.96,0.622,0.006,46.1,4,0,-8.6,0.5,56.7,32.3,60.4
Site G,-10.7,-6.84,-9.44,0.702,0.004,25.1,2,1.7,-7.8,0.4,26.8,14,23.4
Site L (L6214),-4.3,-3.73,-19.92,0.711,0.004,22.9,2,2.2,-18.8,0.4,24,12.2,20
Site L (L6215),-1.5,-4.88,-17.5,0.712,0.007,22.6,3.5,3.2,-16.4,0.4,23.2,11.8,19.1
Site X,35,-5.38,-17.52,0.705,0.005,24.3,2.5,2.5,-16.1,0.4,25.6,13.2,21.9
