/* DATA DESCRIPTION:
Citation:	Birch, Heather; Schmidt, Daniela N; Coxall, Helen; Kroon, Dick; Ridgwell, Andy (2021): Foraminifera size analysis of 356 washed samples (>38µm) from ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.935498, 
	In: Birch, H et al. (2021): Raw Data for article Ecosystem Function after the K/Pg Extinction: Decoupling of Marine Carbon Pump and Diversity [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.935502
Abstract:	A representative split of 356 washed samples (>38µm) was analysed for foraminifera size. Size parameters of randomly oriented foraminifers were measured using a Malvern Mastersizer laser granulameter. The maximum diameter of the object was chosen as the most suitable size estimator because it is least affected by random orientation. The 90th percentile of the maximum diameter (or D90) was used to describe these strongly skewed distributions.
Keyword(s):	Biological pump; ecology; ecosystem function; K/Pg; Planktonic foraminifera
Related to:	Birch, Heather; Schmidt, Daniela N; Coxall, Helen K; Kroon, Dick; Ridgwell, Andy (2021): Ecosystem function after the K/Pg extinction: decoupling of marine carbon pump and diversity. Proceedings of the Royal Society B-Biological Sciences, 288(1953), 20210863, https://doi.org/10.1098/rspb.2021.0863
Coverage:	MEDIAN LATITUDE: -27.185740 * MEDIAN LONGITUDE: 1.576990 * SOUTH-BOUND LATITUDE: -27.185830 * WEST-BOUND LONGITUDE: 1.576980 * NORTH-BOUND LATITUDE: -27.185650 * EAST-BOUND LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-29T05:15:00
	MINIMUM ELEVATION: -4753.6 m * MAXIMUM ELEVATION: -4753.6 m
Event(s):	208-1262B * LATITUDE: -27.185830 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-26T12:40:00 * DATE/TIME END: 2003-03-27T21:25:00 * ELEVATION: -4753.6 m * Penetration: 209.9 m * Recovery: 212.53 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 23 cores; 209.9 m cored; 0 m drilled; 101.3 % recovery
	208-1262C * LATITUDE: -27.185650 * LONGITUDE: 1.576980 * DATE/TIME START: 2003-03-27T21:25:00 * DATE/TIME END: 2003-03-29T05:15:00 * ELEVATION: -4753.6 m * Penetration: 212.5 m * Recovery: 125.93 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 14 cores; 122.5 m cored; 90 m drilled; 102.8 % recovery
Parameter(s):	Event label (Event) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Size fraction [µm] (Size fraction) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Sample code/label (Sample label) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, composite [mcd] (Depth comp) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk)
	Age model [ka] (Age model) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: Determinded after Dinarès-Turell et al. (2014) (URI: https://doi.org/10.1016/j.epsl.2014.08.027) * COMMENT: La2011
	Percentile 90 [µm] (Perc90) * PI: Birch, Heather (https://orcid.org/0000-0003-1515-0645, heather.birch@bristol.ac.uk) * METHOD/DEVICE: Grain size, Mastersizer, Malvern Instrument Inc.
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1671 data points
*/
Event	Size fraction [µm]	Sample label	Depth comp [mcd]	Age model [ka]	Perc90 [µm]
208-1262B		208-1262B-20H-3,128-129	193.51	61960.750	259.6760000
208-1262B		208-1262B-20H-4,68-69	194.41	62067.848	263.1680000
208-1262B	1	208-1262B-20H-5,5-6	195.28	62146.650	227.6430000
208-1262C		208-1262C-11H-2,56-57	196.08	62261.000	231.8390000
208-1262C	1	208-1262C-11H-3,77-78	197.79	62454.431	184.9940000
208-1262C	1	208-1262C-11H-3,89-90	197.91	62471.600	224.6310000
208-1262C	1	208-1262C-11H-3,101-102	198.03	62488.769	224.0970000
208-1262C	1	208-1262C-11H-3,113-114	198.15	62505.938	202.8740000
208-1262C	1	208-1262C-11H-3,125-126	198.27	62523.108	202.4640000
208-1262C	1	208-1262C-11H-3,137-138	198.39	62540.277	207.0340000
208-1262C	1	208-1262C-11H-3,149-150	198.51	62561.127	226.7330000
208-1262C	1	208-1262C-11H-4,11-12	198.63	62583.818	239.9780000
208-1262C	1	208-1262C-11H-4,23-24	198.75	62606.509	202.2490000
208-1262C	1	208-1262C-11H-4,35-36	198.87	62629.200	201.6480000
208-1262C	1	208-1262C-11H-4,47-48	198.99	62650.865	197.8880000
208-1262C	1	208-1262C-11H-4,59-60	199.11	62661.240	225.7930000
208-1262C	1	208-1262C-11H-4,71-72	199.23	62671.615	225.3800000
208-1262C	1	208-1262C-11H-4,83-84	199.35	62681.990	194.2700000
208-1262C	1	208-1262C-11H-4,95-96	199.47	62692.365	215.3600000
208-1262C	1	208-1262C-11H-4,107-108	199.59	62702.740	225.2640000
208-1262C	1	208-1262C-11H-4,119-120	199.71	62713.115	233.1980000
208-1262C	1	208-1262C-11H-4,131-132	199.83	62723.490	223.5880000
208-1262C	1	208-1262C-11H-4,143-144	199.95	62733.980	227.6940000
208-1262C	1	208-1262C-11H-5,5-6	200.07	62745.745	
208-1262C	1	208-1262C-11H-5,17-18	200.19	62757.510	216.4140000
208-1262C	1	208-1262C-11H-5,29-30	200.31	62769.275	227.7510000
208-1262C	1	208-1262C-11H-5,41-42	200.43	62781.039	233.7060000
208-1262C	1	208-1262C-11H-5,53-54	200.55	62792.804	249.4800000
208-1262C	1	208-1262C-11H-5,65-66	200.67	62804.569	213.1040000
208-1262C	1	208-1262C-11H-5,77-78	200.79	62816.333	195.4510000
208-1262C	1	208-1262C-11H-5,89-90	200.91	62828.098	201.0380000
208-1262C	1	208-1262C-11H-5,101-102	201.03	62843.500	227.4890000
208-1262C	1	208-1262C-11H-5,113-114	201.15	62861.500	218.4010000
208-1262C	1	208-1262C-11H-5,125-126	201.27	62879.500	219.6830000
208-1262C	1	208-1262C-11H-5,137-138	201.39	62897.500	236.6730000
208-1262C		208-1262C-11H-6,8-9	201.60	62929.000	212.1910000
208-1262C	1	208-1262C-11H-6,17-18	201.69	62941.453	216.9360000
208-1262B	1	208-1262B-21H-1,47-48	201.81	62955.267	232.4920000
208-1262B	1	208-1262B-21H-1,59-60	201.93	62969.081	198.6850000
208-1262B	1	208-1262B-21H-1,74-75	202.08	62986.349	221.5340000
208-1262B	1	208-1262B-21H-1,86-87	202.20	63000.163	203.8780000
208-1262B	1	208-1262B-21H-1,98-99	202.32	63013.977	232.3940000
208-1262B	1	208-1262B-21H-1,110-111	202.44	63027.791	236.4790000
208-1262B	1	208-1262B-21H-1,122-123	202.56	63041.244	241.6110000
208-1262B	1	208-1262B-21H-1,134-135	202.68	63053.976	229.9750000
208-1262B	1	208-1262B-21H-2,8-9	202.92	63079.439	229.2460000
208-1262B	1	208-1262B-21H-2,20-21	203.04	63092.171	209.0940000
208-1262B	1	208-1262B-21H-2,26-27	203.10	63098.537	221.8510000
208-1262B	1	208-1262B-21H-2,32-33	203.16	63104.902	236.2530000
208-1262B	1	208-1262B-21H-2,44-45	203.28	63117.634	234.9860000
208-1262B	1	208-1262B-21H-2,56-57	203.40	63137.714	225.5190000
208-1262C	1	208-1262C-12H-1,74-75	203.52	63165.143	221.4310000
208-1262C	1	208-1262C-12H-1,86-87	203.64	63192.571	222.9700000
208-1262C	1	208-1262C-12H-1,98-99	203.76	63220.000	222.2790000
208-1262C	1	208-1262C-12H-1,110-111	203.88	63252.526	218.7420000
208-1262C	1	208-1262C-12H-1,122-123	204.00	63285.053	225.9480000
