/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas; Röhl, Ursula; Donner, Barbara; Zachos, James C (2018): (Table S1) Age model of ODP Site 198-1209 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.890987, 
	In supplement to: Westerhold, T et al. (2018): Global extent of early eocene hyperthermal events - a new Pacific benthic foraminiferal isotope record from Shatsky Rise (ODP Site 1209). Paleoceanography and Paleoclimatology, 33(6), 626-642, https://doi.org/10.1029/2017PA003306
Further details:	Dinarès-Turell, Jaume; Westerhold, Thomas; Pujalte, Victoriano; Röhl, Ursula; Kroon, Dick (2014): Astronomical calibration of the Danian stage (Early Paleocene) revisited: Settling chronologies of sedimentary records across the Atlantic and Pacific Oceans. Earth and Planetary Science Letters, 405, 119-131, https://doi.org/10.1016/j.epsl.2014.08.027
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, https://doi.org/10.1016/j.palaeo.2007.09.016
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: 32.651700 * LONGITUDE: 158.505983
	DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00
	MINIMUM DEPTH, sediment/rock: 156.39 m * MAXIMUM DEPTH, sediment/rock: 261.58 m
Event(s):	198-1209 * LATITUDE: 32.651700 * LONGITUDE: 158.505983 * DATE/TIME START: 2001-09-18T00:00:00 * DATE/TIME END: 2001-09-23T00:00:00 * ELEVATION: -2387.3 m * Penetration: 865.1 m * Recovery: 766 m * LOCATION: North Pacific Ocean * CAMPAIGN: Leg198 (URI: https://doi.org/10.2973/odp.proc.ir.198.2002) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 83 cores; 759.4 m cored; 105.7 m drilled; 100.9% recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Age model [ka] (Age model) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Age, comment (Comm) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	360 data points
*/
Depth sed [m]	Age model [ka]	Comm	Reference
156.39	43512	tuned to Atlantic composite	this study
156.74	43615	tuned to Atlantic composite	this study
158.04	43895	tuned to Atlantic composite	this study
162.90	45079	tuned to Atlantic composite	this study
164.76	45492	tuned to Atlantic composite	this study
165.40	45572	tuned to Atlantic composite	this study
170.16	46391	tuned to Atlantic composite	this study
172.16	46741	tuned to Atlantic composite	this study
174.58	47243	tuned to Atlantic composite	this study
176.88	47661	tuned to Atlantic composite	this study
178.48	47949	tuned to Atlantic composite	this study
181.05	48371	tuned to Atlantic composite	this study
181.65	48545	tuned to Atlantic composite	this study
184.75	49159	tuned to Atlantic composite	this study
186.87	49560	tuned to Atlantic composite	this study
187.55	49686	tuned to Atlantic composite	this study
189.05	49865	tuned to Atlantic composite	this study
189.90	49950	tuned to Atlantic composite	this study
190.60	50068	tuned to Atlantic composite	this study
192.66	50365	tuned to Atlantic composite	this study
193.66	50498	tuned to Atlantic composite	this study
194.60	50680	tuned to Atlantic composite	this study
195.24	50770	tuned to Atlantic composite	this study
195.70	50865	tuned to Atlantic composite	this study
196.32	50950	tuned to Atlantic composite	this study
196.70	51033	tuned to Atlantic composite	this study
197.30	51141	tuned to Atlantic composite	this study
197.95	51193	tuned to Atlantic composite	this study
198.98	51346	tuned to Atlantic composite	this study
199.58	51458	tuned to Atlantic composite	this study
200.01	51556	tuned to Atlantic composite	this study
201.21	51846	tuned to Atlantic composite	this study
202.01	51970	tuned to Atlantic composite	this study
202.31	52014	tuned to Atlantic composite	this study
202.57	52055	tuned to Atlantic composite	this study
203.16	52190	tuned to Atlantic composite	this study
203.50	52251	tuned to Atlantic composite	this study
204.21	52375	tuned to Atlantic composite	this study
204.71	52470	tuned to Atlantic composite	this study
205.10	52540	tuned to Atlantic composite	this study
205.43	52612	tuned to Atlantic composite	this study
206.18	52745	tuned to Atlantic composite	this study
206.71	52833	tuned to Atlantic composite	this study
206.91	52882	tuned to Atlantic composite	this study
207.17	52935	tuned to Atlantic composite	this study
207.29	52956	tuned to Atlantic composite	this study
208.49	53213	tuned to Atlantic composite	this study
208.71	53243	tuned to Atlantic composite	this study
209.96	53534	tuned to Atlantic composite	this study
210.20	53575	tuned to Atlantic composite	this study
210.54	53658	tuned to Atlantic composite	this study
210.65	53670	tuned to Atlantic composite	this study
210.74	53683	tuned to Atlantic composite	this study
210.99	53758	tuned to Atlantic composite	this study
211.41	53865	tuned to Atlantic composite	this study
211.85	53954	tuned to Atlantic composite	this study
212.50	54053	tuned to Atlantic composite	this study
213.41	54463	tuned to Atlantic composite	this study
214.11	54744	tuned to Atlantic composite	this study
214.31	54853	tuned to Atlantic composite	this study
214.76	54978	tuned to Atlantic composite	this study
214.98	55058	tuned to Atlantic composite	this study
216.03	55368	tuned to Atlantic composite	this study
216.66	55588	tuned to Atlantic composite	this study
216.86	55650	tuned to Atlantic composite	this study
217.16	55722	tuned to Atlantic composite	this study
217.65	55817	tuned to Atlantic composite	this study
