/* DATA DESCRIPTION:
Citation:	Sep£lveda, Julio; Alegret, Laia; Haddad, Emily; Cao, Changqun; Summons, Roger E; Thomas, Ellen (2019): Bulk elemental and stable isotope data across the Cretaceous-Paleogene boundary [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.902759, 
	Supplement to: Sep£lveda, Julio; Alegret, Laia; Thomas, Ellen; Haddad, Emily; Cao, Changqun; Summons, Roger E (2019): Stable Isotope Constraints on Marine Productivity Across the Cretaceous-Paleogene Mass Extinction. Paleoceanography and Paleoclimatology, 34(7), 1195-1217, https://doi.org/10.1029/2018PA003442
Abstract:	This study includes sample name, depth with respect to the Cretaceous-Paleogene (K/Pg) boundary (cm), percentage of calcium carbonate (%CaCO3), percentage of total organic carbon (%TOC), stable carbon isotope composition of bulk carbonate (d13Ccarb), stable oxygen isotope composition of bulk carbonate (d18Ocarb), stable carbon isotope composition of bulk organic carbon (d13Corg), stable nitrogen isotope composition of bulk organic matter (d15N), and stable carbon isotope composition of phytane (d13Cphytane) for 8 K/Pg boundaries in Tunisia (El Kef and A‹n Settara), Spain (Caravaca and Agost), France (Loya and Bidart, and Denmark (Kulstirenden and H?jerup). The standard deviation for each parameter is reported when multiple analyses of the same sample were performed. Analytical reproducibility (1å) was calculated as better than 0.1% for TOC and TN, 0.1? and 0.5? for d13Corg and d15N, and 0.04? and 0.09? for d13Ccarb and d18Ocarb by comparison with analytical standards (see main text for details).
Keyword(s):	Agost; A‹n Settara; Bidart; Caravaca; Carbon cycling; Carbon isotopes; Cretaceous-Paleogene boundary; El Kef; H?jerup; Kulstirenden; Loya; Marine productivity; nitrogen isotopes
Coverage:	MEDIAN LATITUDE: 43.284556 * MEDIAN LONGITUDE: 4.690549 * SOUTH-BOUND LATITUDE: 35.133333 * WEST-BOUND LONGITUDE: -1.873889 * NORTH-BOUND LATITUDE: 55.343056 * EAST-BOUND LONGITUDE: 12.447222
Event(s):	Agost * LATITUDE: 38.450000 * LONGITUDE: -0.633333 * METHOD/DEVICE: Outcrop sample (OUTCROP)
	Ain-Settara * LATITUDE: 35.133333 * LONGITUDE: 9.833333 * LOCATION: Tunesia * METHOD/DEVICE: Outcrop sample (OUTCROP)
	Bidart * LATITUDE: 43.448333 * LONGITUDE: -1.587778 * LOCATION: France * METHOD/DEVICE: Outcrop sample (OUTCROP)
	Caravaca_outcrop * LATITUDE: 39.088611 * LONGITUDE: -1.873889 * LOCATION: Spain * METHOD/DEVICE: Outcrop sample (OUTCROP)
	El-Kef * LATITUDE: 36.153667 * LONGITUDE: 8.648556 * LOCATION: Tunesia * METHOD/DEVICE: Outcrop sample (OUTCROP)
	H?jerup * LATITUDE: 55.278889 * LONGITUDE: 12.445833 * LOCATION: Denmark * METHOD/DEVICE: Outcrop sample (OUTCROP)
	Kulstirenden * LATITUDE: 55.343056 * LONGITUDE: 12.447222 * LOCATION: Denmark * METHOD/DEVICE: Outcrop sample (OUTCROP)
	Loya * LATITUDE: 43.380556 * LONGITUDE: -1.755556 * LOCATION: France * METHOD/DEVICE: Outcrop sample (OUTCROP)
Parameter(s):	Event label (Event) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu)
	Location of event (Location) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu)
	Latitude of event (Latitude) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu)
	Longitude of event (Longitude) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu)
	Sample ID (Sample ID) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu)
	Depth, relative [m] (Depth rel) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract * COMMENT: with respect to the Cretaceous-Paleogene (K/Pg) boundary
	Calcium carbonate [%] (CaCO3) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	Carbon, organic, total [%] (TOC) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	Carbon, organic, total, standard deviation [ñ] (TOC std dev) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë13C, carbonate [? PDB] (ë13C carb) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë13C, carbonate, standard deviation [ñ] (ë13C carb std dev) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë18O, carbonate [? PDB] (ë18O carb) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë18O, standard deviation [ñ] (ë18O std dev) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë13C, organic carbon [? PDB] (ë13C Corg) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë13C, organic carbon, standard deviation [ñ] (ë13C Corg std dev) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë15N [? air] (ë15N) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	ë15N, standard deviation [ñ] (ë15N std dev) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	Phytane, ë13C [? PDB] (Phy ë13C) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
	Phytane, ë13C, standard deviation [ñ] (Phy ë13C std dev) * PI: Sep£lveda, Julio (https://orcid.org/0000-0002-8251-6937, jsepulveda@colorado.edu) * METHOD/DEVICE: see abstract
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	1498 data points
*/
Event	Location	Latitude	Longitude	Sample ID	Depth rel [m]	CaCO3 [%]	TOC [%]	TOC std dev [ñ]	ë13C carb [? PDB]	ë13C carb std dev [ñ]	ë18O carb [? PDB]	ë18O std dev [ñ]	ë13C Corg [? PDB]	ë13C Corg std dev [ñ]	ë15N [? air]	ë15N std dev [ñ]	Phy ë13C [? PDB]	Phy ë13C std dev [ñ]
El-Kef	Tunesia	36.1537	8.6486	KEF11.15	-0.2000	42.54	0.25	0.004	0.94		-3.77		-25.30	0.202	3.20	0.655	-30.70	0.310
El-Kef	Tunesia	36.1537	8.6486	KEF11.30	-0.0500	39.37	0.25	0.004	0.87		-3.64		-25.33	0.213	3.58	0.779	-30.67	0.303
El-Kef	Tunesia	36.1537	8.6486	KEF12.00	-0.0100	1.82	0.61	0.011	1.44		-3.71		-26.92	0.106	4.53	0.840	-31.95	0.524
El-Kef	Tunesia	36.1537	8.6486	KEF12.05	0.0500	3.60	0.76	0.002	0.60		-3.84		-27.19	0.080	4.70	0.539	-33.88	0.392
El-Kef	Tunesia	36.1537	8.6486	KEF12.10	0.1000	3.91	0.65	0.044	-0.88		-4.27		-27.20	0.140	4.78	0.100	-31.61	0.430
El-Kef	Tunesia	36.1537	8.6486	KEF12.20	0.2000	5.47	0.48	0.004	-1.22		-4.42		-26.32	0.055	5.77	0.151	-31.38	0.799
El-Kef	Tunesia	36.1537	8.6486	KEF12.70	0.7000	10.63	0.54	0.027	-1.38		-3.96		-26.35	0.186	4.29	0.316	-32.13	0.035
El-Kef	Tunesia	36.1537	8.6486	KEF13.25	1.2500	10.89	0.82	0.015	-1.76		-3.27		-26.49	0.046	5.77	0.158	-31.40	0.157
El-Kef	Tunesia	36.1537	8.6486	KEF13.75	1.7500	16.61	1.07	0.059	-1.75		-2.48		-26.08	0.060	5.32	0.285	-31.99	0.246
Ain-Settara	Tunesia	35.1333	9.8333	STWA-5-7	-0.0600	38.01	0.77	0.014	0.79		-4.34		-26.20	0.298	5.86	0.583		
Ain-Settara	Tunesia	35.1333	9.8333	STWA-0-3	-0.0150	33.14	0.87	0.007	1.10		-4.23		-26.40	0.214	6.86	0.155		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+1	0.0100	1.33	0.86	0.017	1.13		-3.76		-26.61	0.167	5.92	0.227		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+3	0.0200	2.45	0.84	0.044	0.72		-3.38		-26.92	0.163	6.43	0.283		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+5	0.0300	2.73	0.93	0.025	-0.03		-3.20		-26.92	0.070	6.68	0.849		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+3+5	0.0400	7.00	0.81	0.003	-0.76		-3.65		-26.67	0.239	6.58	0.184		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+8+10	0.0900	5.04	0.65	0.017	-1.97		-3.19		-26.24	0.149	7.23	0.551		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+20+22	0.2100	11.30	0.72	0.008	-2.52		-2.56		-26.14	0.029	7.41	0.333		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+30+32	0.3100	10.43	1.04	0.039	-0.98		-3.72		-26.12	0.190	7.76	0.218		
Ain-Settara	Tunesia	35.1333	9.8333	STWA+84	0.8400	31.09	1.58	0.032	-1.17		-2.86		-26.56	0.181	7.76	0.000		
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca -20-25	-0.2250	80.33	0.15		1.69		-2.44		-23.63					
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca-10-12	-0.1100	79.40	0.31	0.015	2.01		-2.37		-23.47	0.049				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca -5-10	-0.0750	79.25	0.15		1.64		-2.66		-22.80					
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca-1-3	-0.0200	77.40	0.36	0.013	1.98		-2.44		-23.66	0.154				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+0.5+2	0.0125	41.17	0.45	0.024	0.24		-3.63		-25.37	0.279				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+2+3	0.0250	41.93	0.33	0.009	0.05		-3.24		-24.67	0.171				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+3+4	0.0350	42.85	0.31	0.003	0.34		-3.15		-24.40	0.351				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+4+5	0.0450	43.94	0.33	0.010	0.55		-3.05		-24.44	0.113				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+5+6	0.0550	53.64	0.35	0.009	1.02		-2.13		-24.12	0.200				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+6+7	0.0650	69.47	0.37	0.005	1.17		-1.83		-23.87	0.094				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+7+8	0.0750	68.23	0.41	0.041	1.14		-1.82		-23.51	0.045				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+8+9	0.0850	67.00	0.46	0.076	1.13		-1.83		-23.66	0.231				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+9+10	0.0950	75.30	0.36	0.006	1.02		-2.01		-23.80	0.118				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+11+13	0.1200	75.49	0.38	0.006	1.08		-2.08		-24.06	0.004				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+14+16	0.1500	83.79	0.38	0.009	1.20		-1.70		-23.67	0.044				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+16+18	0.1700	83.02	0.35	0.009	1.19		-1.91		-22.83	0.240				
Caravaca_outcrop	Spain	39.0886	-1.8739	Caravaca+20	0.1900	87.43	0.39	0.008	1.29		-1.98		-22.87	0.103				
Agost		38.4500	-0.6333	Agost-22	-0.2200	80.20	0.24	0.013	1.86		-3.02		-24.26	0.100			-31.25	0.753
Agost		38.4500	-0.6333	Agost-5	-0.1750	81.87	0.09		1.50		-2.56						-31.20	0.741
Agost		38.4500	-0.6333	Agost+0+1	0.0050	80.20	0.24	0.013	1.86		-3.02		-24.26	0.100			-31.72	0.360
Agost		38.4500	-0.6333	Agost+1+2	0.0150	31.55	0.40	0.010	-0.16		-4.06		-22.92	0.078			-30.25	0.741
Agost		38.4500	-0.6333	Agost+2+3	0.0250	35.30	0.32	0.018	-0.19		-3.80		-23.08	0.093			-30.64	0.690
Agost		38.4500	-0.6333	Agost+3+4	0.0350	33.52	0.34	0.021	-0.18		-3.77		-22.57	0.099			-30.45	0.334
Agost		38.4500	-0.6333	Agost+4+6	0.0500	33.59	0.34	0.020	-0.27		-3.14		-23.19	0.012			-31.48	0.226
Agost		38.4500	-0.6333	Agost+8+10	0.0900	69.54	0.29	0.004	0.81		-2.30		-23.90	0.098			-30.36	0.305
Agost		38.4500	-0.6333	Agost+10+12	0.1100	59.01	0.22	0.000	0.40		-2.21		-23.06	0.086			-30.56	1.088
Agost		38.4500	-0.6333	Agost+12+14	0.1300	81.75	0.41	0.000	0.79		-2.32		-23.97	0.080			-30.94	0.175
Agost		38.4500	-0.6333	Agost+14+16	0.1500	71.21	0.31	0.024	0.68		-2.47		-23.91	0.031			-30.33	21.818
