/* DATA DESCRIPTION:
Citation:	Bergen, James A; Truax III, S; de Kaenel, Eric P; Blair, Stacie A; Browning, Emily L; Lundquist, J; Boesiger, Todd; Bolivar, M; Clark, K (2023): (Table S22) Foraminiferal range charts of ODP Leg 154 sites (17934-21274 ka) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.897494, 
	In supplement to: Bergen, JA et al. (2019): BP Gulf of Mexico Neogene Astronomically-tuned Time Scale (BP GNATTS). Bulletin of the Geological Society of America, 131(11-12), 1871-1888, https://doi.org/10.1130/B35062.1
Related to:	Berggren, William A; Hilgen, Frederik J; Langereis, Cornelis G; Kent, Dennis V; Obradovich, J D; Raffi, Isabella; Raymo, Maureen E; Shackleton, Nicholas J (1995): Late Neogene chronology: New perspectives in high-resolution stratigraphy. Geological Society of America Bulletin, 107(11), 1272-1287, https://doi.org/10.1130/0016-7606(1995)107%3C1272:LNCNPI%3E2.3.CO;2
	Wade, Bridget S; Pearson, Paul N; Berggren, William A; Pälike, Heiko (2011): Review and revision of Cenozoic tropical planktonic foraminiferal biostratigraphy and calibration to the geomagnetic polarity and astronomical time scale. Earth-Science Reviews, 104(1-3), 111-142, https://doi.org/10.1016/j.earscirev.2010.09.003
Other version:	Neogene foraminifera taxonomy and stratigraphy ODP Leg 154, 17934-21274 ka (URI: https://store.pangaea.de/Publications/BlairS-etal_2019/TABLE_S22_Leg154_(17934-21274)_FORAM_SEP2018.xlsx)
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	MEDIAN LATITUDE: 4.274330 * MEDIAN LONGITUDE: -43.263450 * SOUTH-BOUND LATITUDE: 3.718830 * WEST-BOUND LONGITUDE: -43.748100 * NORTH-BOUND LATITUDE: 5.455210 * EAST-BOUND LONGITUDE: -42.908400
	DATE/TIME START: 1994-02-14T04:00:00 * DATE/TIME END: 1994-03-09T00:30:00
	MINIMUM DEPTH, sediment/rock: 19.740 m * MAXIMUM DEPTH, sediment/rock: 447.040 m
Event(s):	154-925A * LATITUDE: 4.204150 * LONGITUDE: -43.488900 * DATE/TIME START: 1994-02-14T04:00:00 * DATE/TIME END: 1994-02-19T05:00:00 * ELEVATION: -3053.0 m * Penetration: 930.4 m * Recovery: 490.05 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 69 cores; 645.5 m cored; 0 m drilled; 75.9 % recovery
	154-926B * LATITUDE: 3.719130 * LONGITUDE: -42.908400 * DATE/TIME START: 1994-02-21T10:30:00 * DATE/TIME END: 1994-02-25T19:00:00 * ELEVATION: -3610.0 m * Penetration: 605.8 m * Recovery: 593.25 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 64 cores; 605.8 m cored; 0 m drilled; 97.9 % recovery
	154-926C * LATITUDE: 3.718830 * LONGITUDE: -42.908400 * DATE/TIME START: 1994-02-25T19:00:00 * DATE/TIME END: 1994-02-27T16:00:00 * ELEVATION: -3610.0 m * Penetration: 398.3 m * Recovery: 394.21 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 42 cores; 397.8 m cored; 0 m drilled; 99.1 % recovery
	154-928B * LATITUDE: 5.455210 * LONGITUDE: -43.748100 * DATE/TIME START: 1994-03-06T00:15:00 * DATE/TIME END: 1994-03-09T00:30:00 * ELEVATION: -4024.0 m * Penetration: 531.9 m * Recovery: 472.39 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 56 cores; 531.9 m cored; 0 m drilled; 88.8 % recovery
Comment:	P - indicates taxa present, ? - indicates questionable occurrence, - indicates absence.
Parameter(s):	Event label (Event) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Sample code/label (Sample label) * PI: Blair, Stacie A (stacie.blair81@gmail.com) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Blair, Stacie A (stacie.blair81@gmail.com) * COMMENT: rmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Blair, Stacie A (stacie.blair81@gmail.com) * COMMENT: Wade et al. (2011)
	Planktic foraminifera zone (Plank foram zone) * PI: Blair, Stacie A (stacie.blair81@gmail.com) * COMMENT: Base Zone Blow (1969) emended
	Planktic foraminifera zone (Plank foram zone) * PI: Blair, Stacie A (stacie.blair81@gmail.com) * COMMENT: Base Zone Berggren et al. (1995)
	Planktic foraminifera zone (Plank foram zone) * PI: Blair, Stacie A (stacie.blair81@gmail.com) * COMMENT: Base Zone Wade et al. (2011)
	Comment (Comment) * PI: Blair, Stacie A (stacie.blair81@gmail.com) * COMMENT: include global planktonic foraminiferal biozonation events not observed in this study (Blow (1969) emended; Berggren et al. (1995); Wade et al. (2011))
	Analyst (Analyst) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Analyst (Analyst) * PI: Blair, Stacie A (stacie.blair81@gmail.com) * COMMENT: #2
	Candeina nitida (C. nitida) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Catapsydrax dissimilis (C. dissimilis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Catapsydrax cf. dissimilis (C. cf. dissimilis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Catapsydrax unicavus (C. unicavus) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Ciperoella anguliofficinalis (C. anguliofficinalis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Ciperoella angulisuturalis (C. angulisuturalis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Ciperoella cf. angulisuturalis (C. cf. angulisuturalis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Ciperoella aff. angulisuturalis (C. aff. angulisuturalis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Ciperoella ciperoensis (C. ciperoensis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Clavatorella bermudezi (C. bermudezi) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Dentoglobigerina altispira (D. altispira) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Dentoglobigerina binaiensis (D. binaiensis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Dentoglobigerina sellii (D. sellii) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Dentoglobigerina cf. sellii (D. cf. sellii) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Dentoglobigerina aff. sellii (D. aff. sellii) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Dentoglobigerina venezuelana (D. venezuelana) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerina falconensis (G. falconensis) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerina cf. incisa (G. cf. incisa) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinatella insueta (G. insueta) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinella siphonifera (G. siphonifera) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinita glutinata (G. glutinata) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinita uvula (G. uvula) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinita spp. (Globigerinita spp.) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinoides altiaperturus (G. altiaperturus) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinoides bollii (G. bollii) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
	Globigerinoides conglobatus (G. conglobatus) * PI: Blair, Stacie A (stacie.blair81@gmail.com)
